iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.998742114752531052e-02,5.612963676452636719e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.798936868086457253e-02,6.097889512777328491e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999532860716300e+00,1.000005363525515584e-01,-1.150504875051035561e-02,8.204108593517708825e-05,-1.066378499858799955e-05,4.999950604429639900e-02,-6.299572065472602844e-02,6.703800767660140991e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749998385481061014e+00,1.000054685392162829e-01,-1.151470783830519859e-02,2.436034452752422474e-04,-3.282323466713421567e-05,4.994623969016342979e-02,-6.613533943891525269e-02,6.919241070747375488e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749996557899060612e+00,1.000156743924294211e-01,-1.152787625404456603e-02,4.441591896321324395e-04,-6.569711431625435694e-05,4.984186165217473208e-02,-5.970196705311536789e-02,6.935136616230010986e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749994086793569714e+00,1.000309284672581817e-01,-1.154407179940572167e-02,6.680166167908202501e-04,-1.086952792248574440e-04,4.969416286135486249e-02,-5.539740063250064850e-02,6.941333025693893433e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749991037132699212e+00,1.000502266594059247e-01,-1.156315692182706238e-02,9.320688263165614884e-04,-1.614033103038980954e-04,4.950678300341128379e-02,-5.798579286783933640e-02,6.993937581777572632e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749987460197107936e+00,1.000726618924152322e-01,-1.158507218762930280e-02,1.253544586271682776e-03,-2.236079372852639580e-04,4.928191522545596892e-02,-6.496122758835554123e-02,7.041593819856643677e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749983368177923104e+00,1.000980688254490963e-01,-1.160974906748967611e-02,1.625265053116931729e-03,-2.952980915005287699e-04,4.902317387977238317e-02,-6.868168246001005173e-02,7.055303186178207397e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749978759168602238e+00,1.001264775091561532e-01,-1.163714050197189875e-02,2.035374118448406849e-03,-3.765174626584322226e-04,4.873418383655098163e-02,-8.036994282156229019e-02,7.065360814332962036e+00
