iter,time,x,y,z,roll,pitch,yaw
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02
2.000000000000000000e+00,2.000000000000000042e-03,4.749999743979937961e+00,1.000015791767268625e-01,-6.213648401227782221e-06,1.551244896700471054e-05,3.820050680447550917e-06,5.000450066313749664e-02
3.000000000000000000e+00,3.000000000000000062e-03,4.749999045561841271e+00,1.000084908163637737e-01,-1.840342914996262290e-05,4.481629942558809643e-05,1.077536056093286732e-05,4.996210245004166495e-02
4.000000000000000000e+00,4.000000000000000083e-03,4.749997898475410985e+00,1.000208575013412926e-01,-3.585883101772712676e-05,8.971441074885969091e-05,1.732365651618827940e-05,4.986809281812890071e-02
5.000000000000000000e+00,5.000000000000000104e-03,4.749996318144634522e+00,1.000382436417277809e-01,-5.817087529919034707e-05,1.501772059669566339e-04,2.197943550563685733e-05,4.972585044867655624e-02
6.000000000000000000e+00,6.000000000000000125e-03,4.749994296122566517e+00,1.000602195962692897e-01,-8.514960841542132278e-05,2.227647347621958263e-04,2.372194395139359813e-05,4.953882492417334416e-02
7.000000000000000000e+00,7.000000000000000146e-03,4.749991856537120860e+00,1.000863396410291983e-01,-1.166572797205686391e-04,3.087817879773128993e-04,2.174217902695119164e-05,4.931041724870657839e-02
8.000000000000000000e+00,8.000000000000000167e-03,4.749989016922244289e+00,1.001160799949432495e-01,-1.526119080558895210e-04,4.075023187299665894e-04,1.641246767047910282e-05,4.904587964502041264e-02
9.000000000000000000e+00,9.000000000000001055e-03,4.749985809035738527e+00,1.001491192289228616e-01,-1.929214793660960850e-04,5.202320977903684973e-04,8.251788084834288384e-06,4.874753902672220723e-02
1.000000000000000000e+01,1.000000000000000194e-02,4.749982250629074088e+00,1.001850362147531093e-01,-2.373258872740515487e-04,6.470798151715952129e-04,-2.262947901732204059e-06,4.841977384941817397e-02
1.100000000000000000e+01,1.100000000000000283e-02,4.749978346907679061e+00,1.002236299509874917e-01,-2.857814953668702789e-04,7.866807200784357856e-04,-1.495597049894215047e-05,4.806342304291046086e-02
