iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.998742114752531052e-02,5.612963676452636719e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.798936868086457253e-02,6.097889512777328491e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999938080513573e+00,9.999890482316675655e-02,-1.150500884381287607e-02,4.528158260394543611e-06,-1.057380992453005319e-05,5.000382298335270120e-02,-5.032150447368621826e-02,6.705490380525588989e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749999811612640954e+00,9.999683568294018277e-02,-1.151459067538549395e-02,1.455818067085112855e-05,-3.256500611326096362e-05,5.001068460206732624e-02,-5.072660511359572411e-02,6.917744725942611694e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749999624566933143e+00,9.999401752213055161e-02,-1.152766770263147049e-02,3.241733733708521137e-05,-6.527133408540386483e-05,5.001916474314939409e-02,-5.108642345294356346e-02,6.948308229446411133e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749999374335040159e+00,9.999054719996393337e-02,-1.154375866024123440e-02,5.886169525591219975e-05,-1.081011008190468914e-04,5.002855050640085677e-02,-5.058556003496050835e-02,6.960284829139709473e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749999059219137010e+00,9.998646445859281362e-02,-1.156271735797117887e-02,9.443139218396484624e-05,-1.607146837607764667e-04,5.003848673969117644e-02,-5.056602274999022484e-02,6.988712221384048462e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749998678642803895e+00,9.998179691098733890e-02,-1.158447383701517557e-02,1.391859235884522483e-04,-2.229372618343106183e-04,5.004872887994572805e-02,-4.733634181320667267e-02,7.018044084310531616e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749998231952341499e+00,9.997656666569422479e-02,-1.160898157480155443e-02,1.934239214900247694e-04,-2.947489483575704838e-04,5.005909534917078740e-02,-2.950083371251821518e-02,7.037608474493026733e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749997725661641468e+00,9.997079059636550247e-02,-1.163620472549407696e-02,2.561214207426540379e-04,-3.761700558433389574e-04,5.006942325727021387e-02,-2.527802344411611557e-02,7.053390532732009888e+00
