iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.998742114752531052e-02,5.612963676452636719e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.798936868086457253e-02,6.097889512777328491e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999729352144762e+00,1.000030103857210834e-01,-1.150501180809751674e-02,1.779524041792268640e-05,-1.057641495938455023e-05,4.999967622667871731e-02,-5.357933230698108673e-02,6.707160264253616333e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749999003651499407e+00,1.000128214400561877e-01,-1.151459868613006685e-02,5.193903668836499787e-05,-3.257037328330270043e-05,4.994671477678522264e-02,-5.066308937966823578e-02,6.932351469993591309e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749997866411122871e+00,1.000289489167902196e-01,-1.152767520224220674e-02,1.048649604175957983e-04,-6.525823491632110063e-05,4.984176150227388746e-02,-5.100766103714704514e-02,6.952684789896011353e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749996363286640211e+00,1.000506279265978293e-01,-1.154375462106946998e-02,1.755463852160486782e-04,-1.080858011532903618e-04,4.969231835168018419e-02,-5.291924905031919479e-02,6.950464725494384766e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749994517168296682e+00,1.000774013846340293e-01,-1.156269310990979196e-02,2.621870748992088940e-04,-1.606663535069774440e-04,4.950249774068154335e-02,-5.624234769493341446e-02,6.975759267807006836e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749992349598900709e+00,1.001089038983711821e-01,-1.158444702372071408e-02,3.638221657619004901e-04,-2.228365610301707989e-04,4.927529041566550139e-02,-5.765609815716743469e-02,7.026438772678375244e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749989875826630126e+00,1.001448086063749104e-01,-1.160896076844370600e-02,4.810988182879297193e-04,-2.945208205928917522e-04,4.901320971600563181e-02,-5.622278433293104172e-02,7.065233856439590454e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749987121674756452e+00,1.001847481829251235e-01,-1.163618371227579697e-02,6.134849499882452650e-04,-3.757798601131678851e-04,4.871967355903882024e-02,-5.479746032506227493e-02,7.073539644479751587e+00
