iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,2.989528351463377476e-02,5.905170351266860962e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,3.687839023768901825e-02,6.789256840944290161e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999819517392474e+00,1.000046475813018282e-01,-6.000539476558491847e-02,1.834025194900543165e-05,-1.322018455796047931e-05,4.999347297335846041e-02,5.639955149723618888e-02,7.751641005277633667e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749999285532404691e+00,1.000177076530539000e-01,-6.001541893519984905e-02,5.389081354191180284e-05,-4.129560321475267415e-05,4.992863350774413844e-02,6.646081549115478992e-02,7.974980205297470093e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749998524488130869e+00,1.000372697186220489e-01,-6.002826064037730669e-02,1.123616470879856832e-04,-8.276182461308678739e-05,4.981617939555563895e-02,7.296819647308439016e-02,7.845686733722686768e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749997628340677736e+00,1.000616688088387524e-01,-6.004302815783563868e-02,1.954900867996225977e-04,-1.357145528972925064e-04,4.967161736528720450e-02,6.303730086074210703e-02,7.755315303802490234e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749996629047696040e+00,1.000904994844796086e-01,-6.005951410163935106e-02,3.019813794281032970e-04,-1.988511724599906216e-04,4.949917821715744959e-02,6.031410509967827238e-02,7.780400484800338745e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749995521941552390e+00,1.001238033239667119e-01,-6.007773732570056979e-02,4.302322562263170835e-04,-2.717992944984981563e-04,4.929843721589789729e-02,6.310353186563588679e-02,7.827017396688461304e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749994321253756091e+00,1.001614588922381255e-01,-6.009767518149332355e-02,5.794249318776499569e-04,-3.545913214186846574e-04,4.906985282166700935e-02,6.954797112848609686e-02,7.832055270671844482e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749993039384353466e+00,1.002032982064147287e-01,-6.011927161037718820e-02,7.479891256618222128e-04,-4.472500311329952183e-04,4.881372583932816478e-02,7.062692659815184015e-02,7.816709995269775391e+00
1.000000000000000000e+01,1.000000000000000194e-02,4.749991699743000062e+00,1.002489900433759518e-01,-6.014247263204856864e-02,9.351824484950845007e-04,-5.496088317491487629e-04,4.853270655805085043e-02,6.997018105539609678e-02,7.802715659141540527e+00
1.100000000000000000e+01,1.100000000000000283e-02,4.749990320365243157e+00,1.002982489876257238e-01,-6.016720541270091649e-02,1.139285088495214926e-03,-6.613442624678889104e-04,4.822945984549999870e-02,6.694139481260208413e-02,7.801037967205047607e+00
1.200000000000000000e+01,1.200000000000000372e-02,4.749988915427968195e+00,1.003508826781737834e-01,-6.019340948651719786e-02,1.358177354088101196e-03,-7.821807088779220152e-04,4.790545433014162247e-02,7.481810415629297495e-02,7.800933480262756348e+00
1.300000000000000000e+01,1.300000000000000461e-02,4.749987498576842881e+00,1.004066906012308080e-01,-6.022103954482257993e-02,1.590400618035923280e-03,-9.119505570087671487e-04,4.756222715854943606e-02,7.900627690833061934e-02,7.781846553087234497e+00
1.400000000000000000e+01,1.400000000000000550e-02,4.749986094803537284e+00,1.004654735404928861e-01,-6.025002654971934463e-02,1.834690033427566203e-03,-1.050415716235209018e-03,4.720115524162744880e-02,7.824669149704277515e-02,7.772839486598968506e+00
1.500000000000000000e+01,1.500000000000000638e-02,4.749984722292732719e+00,1.005270582044629213e-01,-6.028036182317215302e-02,2.090352370192050807e-03,-1.197448364434805512e-03,4.682367712741543342e-02,6.646010500844568014e-02,7.767521977424621582e+00
1.600000000000000000e+01,1.600000000000000727e-02,4.749983394131921166e+00,1.005912803296265118e-01,-6.031201557238437955e-02,2.357055180193436822e-03,-1.352897563591248797e-03,4.643095623988705012e-02,6.538446422200649977e-02,7.759519219398498535e+00
1.700000000000000000e+01,1.700000000000000816e-02,4.749982099281798043e+00,1.006581642010326710e-01,-6.034493057624029655e-02,2.634932483995100494e-03,-1.516536580121519151e-03,4.602293322048477825e-02,7.384957399335689843e-02,7.751606732606887817e+00
1.800000000000000000e+01,1.800000000000000905e-02,4.749980837882872287e+00,1.007278229013410936e-01,-6.037905014898057449e-02,2.924102750160050002e-03,-1.688127485459878230e-03,4.559941783695913020e-02,7.244238094062893651e-02,7.735670655965805054e+00
1.900000000000000000e+01,1.900000000000000994e-02,4.749979636870448552e+00,1.007999977867913843e-01,-6.041435221128150374e-02,3.224392693685171341e-03,-1.867551008283063751e-03,4.516223573669418678e-02,7.111346864257939160e-02,7.699362605810165405e+00
2.000000000000000000e+01,2.000000000000001082e-02,4.749978508957792833e+00,1.008743977847088441e-01,-6.045083477365647412e-02,3.534629493094836733e-03,-2.054719273617333641e-03,4.471279325910472446e-02,7.190242843353189528e-02,7.656278610229492188e+00
2.100000000000000000e+01,2.100000000000001171e-02,4.749977467023631661e+00,1.009507539322353070e-01,-6.048848291085117540e-02,3.854225937144385716e-03,-2.249403357367896206e-03,4.425198880275577756e-02,8.124487363966181874e-02,7.623640120029449463e+00
2.200000000000000000e+01,2.200000000000001260e-02,4.749976526190319071e+00,1.010288584921553989e-01,-6.052729649301440834e-02,4.182427155439982780e-03,-2.451394428126585368e-03,4.378127548482086545e-02,7.450185899506323040e-02,7.615540474653244019e+00
2.300000000000000000e+01,2.300000000000001349e-02,4.749975711718484206e+00,1.011085426375660096e-01,-6.056724861606932464e-02,4.518190252265311124e-03,-2.660447382865083199e-03,4.330212316598621575e-02,7.137032113678287715e-02,7.596201419830322266e+00
2.400000000000000000e+01,2.400000000000001438e-02,4.749975022379360645e+00,1.011897256812759466e-01,-6.060833078472199764e-02,4.860902429721983969e-03,-2.876491947710668740e-03,4.281536740314383083e-02,7.024421711685135961e-02,7.599446088075637817e+00
