iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.074979085475206375e-02,4.464047752320766449e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-4.797465633600950241e-02,4.812754034996032715e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999987952518765e+00,9.999786926295892164e-02,-1.150583878224768763e-02,6.780474101922284724e-06,-7.902293907458002309e-06,5.000847322614592610e-02,-4.269147268496453762e-02,5.371373370289802551e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749999958188030114e+00,9.999381633513067247e-02,-1.151727603945246550e-02,2.185462642747063033e-05,-2.455504175191691729e-05,5.002420300602769543e-02,-4.271239391528069973e-02,5.597539693117141724e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749999901633145782e+00,9.998828857335241571e-02,-1.153373886544102264e-02,4.899120824898919868e-05,-5.069468122420595080e-05,5.004436949715705685e-02,-4.532916378229856491e-02,5.650604724884033203e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749999810909874220e+00,9.998148436280299145e-02,-1.155497328984107959e-02,9.016888311876719575e-05,-8.654669880403531579e-05,5.006749112192165202e-02,-4.469660134054720402e-02,5.675499141216278076e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749999679912380479e+00,9.997348672171242623e-02,-1.158085447171143707e-02,1.454052421409959828e-04,-1.319488768705134873e-04,5.009281552436180285e-02,-7.676876382902264595e-03,5.726930469274520874e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749999506847732533e+00,9.996435102923950655e-02,-1.161132657202638280e-02,2.153954721723048971e-04,-1.868341356046077095e-04,5.011980142818475703e-02,4.688357003033161163e-04,5.747385531663894653e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749999330826252475e+00,9.995449144173355893e-02,-1.164630926613685266e-02,2.982948768179040366e-04,-2.511803018088176742e-04,5.014591415985847345e-02,1.381588401272892952e-03,5.752626031637191772e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749999164504185245e+00,9.994393167683560120e-02,-1.168579347731980855e-02,3.964847905457320743e-04,-3.250529157396986335e-04,5.017128211903408574e-02,-1.838628202676773071e-03,5.773401662707328796e+00
1.000000000000000000e+01,1.000000000000000194e-02,4.749999011286199391e+00,9.993260407411941326e-02,-1.172977896282461144e-02,5.100957561472371782e-04,-4.084762066030034333e-04,5.019639467137252536e-02,-9.581919293850660324e-04,5.774372845888137817e+00
1.100000000000000000e+01,1.100000000000000283e-02,4.749998867381050260e+00,9.992047501603340542e-02,-1.177822339953802158e-02,6.395847682548194690e-04,-5.014082715131262802e-04,5.022144767320679826e-02,4.504344891756772995e-03,5.779649078845977783e+00
1.200000000000000000e+01,1.200000000000000372e-02,4.749998734984822946e+00,9.990751557968879926e-02,-1.183116314697904917e-02,7.856859333738169804e-04,-6.039740065857390761e-04,5.024655749490469087e-02,1.562043558806180954e-02,5.815238818526268005e+00
1.300000000000000000e+01,1.300000000000000461e-02,4.749998622265305670e+00,9.989372963066425748e-02,-1.188862138485495025e-02,9.487148292565208973e-04,-7.162752726699306294e-04,5.027186030282568968e-02,1.201821933500468731e-02,5.818778663873672485e+00
1.400000000000000000e+01,1.400000000000000550e-02,4.749998543546450236e+00,9.987915656401576137e-02,-1.195052889705138476e-02,1.129093453739297287e-03,-8.382509770781254588e-04,5.029713017556897148e-02,7.815156830474734306e-03,5.834909245371818542e+00
1.500000000000000000e+01,1.500000000000000638e-02,4.749998493944843858e+00,9.986379237116992102e-02,-1.201688573718356218e-02,1.327912578435379992e-03,-9.699177550677173798e-04,5.032223834440774368e-02,9.208166273310780525e-03,5.821715235710144043e+00
1.600000000000000000e+01,1.600000000000000727e-02,4.749998466923109675e+00,9.984765090894162642e-02,-1.208770841185749165e-02,1.545311524087079891e-03,-1.111406134148174019e-03,5.034686988240488770e-02,5.699291126802563667e-03,5.837120309472084045e+00
