iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-3.314386529382318258e-02,5.486786201596260071e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-2.404686706722714007e-02,6.013790681958198547e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999997702138543e+00,9.999837530674814123e-02,-2.500554868155066210e-02,8.222164724024788596e-06,-1.176275658720804529e-05,5.000638519540800964e-02,-1.027045468799769878e-02,6.588117197155952454e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749999995745205261e+00,9.999541019107974216e-02,-2.501630867266416841e-02,2.640700260484948880e-05,-3.665565418931038266e-05,5.001793545679295017e-02,-7.157818414270877838e-03,6.759627386927604675e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749999997546373365e+00,9.999161912424160692e-02,-2.503146787637718085e-02,5.717025331272024280e-05,-7.469850198615901604e-05,5.003195837211928121e-02,-6.074242643080651760e-03,6.775236055254936218e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.750000002241261399e+00,9.998719663088694032e-02,-2.505068316308774537e-02,1.016841793265374494e-04,-1.255644824096346923e-04,5.004729820254767703e-02,4.206255311146378517e-03,6.784704059362411499e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.750000010761516123e+00,9.998216733077683327e-02,-2.507382786500020680e-02,1.603087902660865760e-04,-1.889084018777964502e-04,5.006365826260696789e-02,1.018999493680894375e-02,6.821028321981430054e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.750000038484674114e+00,9.997653466843745007e-02,-2.510077754960297544e-02,2.329406770359525314e-04,-2.643637520272079655e-04,5.008081660107428779e-02,2.911456103902310133e-02,6.829490542411804199e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.750000093460258199e+00,9.997032256423576957e-02,-2.513146294167545314e-02,3.197218941634501210e-04,-3.518729442626433723e-04,5.009862533119725791e-02,3.733239567372947931e-02,6.846404924988746643e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.750000197309725891e+00,9.996375981740297789e-02,-2.516583464012108265e-02,4.182028915813221226e-04,-4.513137918591425546e-04,5.011600640010634156e-02,3.613250807393342257e-02,6.862575307488441467e+00
1.000000000000000000e+01,1.000000000000000194e-02,4.750000360001870980e+00,9.995693204685433819e-02,-2.520389429454714808e-02,5.293805550797628379e-04,-5.627710286086884395e-04,5.013251504997489477e-02,4.325106320902705193e-02,6.864847362041473389e+00
1.100000000000000000e+01,1.100000000000000283e-02,4.750000582450792486e+00,9.994980632111907792e-02,-2.524565533967845776e-02,6.527621669160689477e-04,-6.863656669526818632e-04,5.014837333574505285e-02,4.364652466028928757e-02,6.883596837520599365e+00
1.200000000000000000e+01,1.200000000000000372e-02,4.750000875567165437e+00,9.994233749494060848e-02,-2.529112522867477814e-02,7.890854238923883379e-04,-8.221329730975224237e-04,5.016384985202070046e-02,3.715953649953007698e-02,6.928740531206130981e+00
1.300000000000000000e+01,1.300000000000000461e-02,4.750001241128181562e+00,9.993450298707540203e-02,-2.534033948801869135e-02,9.386551151671015947e-04,-9.702788826131403255e-04,5.017899551854032580e-02,4.327358992304652929e-02,6.953404933214187622e+00
1.400000000000000000e+01,1.400000000000000550e-02,4.750001666490512697e+00,9.992642251315372870e-02,-2.539321933058852343e-02,1.100294010034176539e-03,-1.130756112830422211e-03,5.019340050747510967e-02,3.388246730901300907e-02,6.837871536612510681e+00
1.500000000000000000e+01,1.500000000000000638e-02,4.750002163018385737e+00,9.991806094069609345e-02,-2.544978804720213900e-02,1.275264683818205097e-03,-1.303757268922067780e-03,5.020696018761636181e-02,3.019715182017534971e-02,6.271127045154571533e+00
1.600000000000000000e+01,1.600000000000000727e-02,4.750002722513229081e+00,9.990928018229325303e-02,-2.550962044496092943e-02,1.465151901687399699e-03,-1.487330917308904432e-03,5.022019891088501387e-02,2.861283405218273401e-02,5.976153060793876648e+00
1.700000000000000000e+01,1.700000000000000816e-02,4.750003338718969736e+00,9.990005922700727348e-02,-2.557169742904598364e-02,1.667841827405664584e-03,-1.675435671393943338e-03,5.023322000225904915e-02,2.476464025676250458e-02,6.087797522544860840e+00
