iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-1.278440998867154121e-01,2.793075937777757645e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-1.249711178243160248e-01,3.249498158693313599e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999874198231886e+00,9.999639433419690859e-02,-1.000908340986146443e-02,1.687912048780465524e-05,-1.501079062160570743e-05,5.001270747084898133e-02,-1.110008130781352520e-01,4.217300936579704285e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749999613210872162e+00,9.998950629205279050e-02,-1.002611641272106724e-02,5.239778949136381092e-05,-4.418408521345007500e-05,5.003622885778116758e-02,-1.078458437696099281e-01,4.582647636532783508e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749999209914961718e+00,9.998020851115797802e-02,-1.004771816635060405e-02,1.103287637330835347e-04,-8.254352140935061755e-05,5.006620215843340244e-02,-1.130678765475749969e-01,4.586052849888801575e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749998657679906700e+00,9.996880251511693072e-02,-1.007250857777250257e-02,1.920648789161469305e-04,-1.278734896517086383e-04,5.010077196747002998e-02,-8.161025866866111755e-02,4.554929360747337341e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749997943979669124e+00,9.995537123277126179e-02,-1.010059713124436889e-02,2.961144818935876333e-04,-1.805531715468600140e-04,5.013943061153146308e-02,-8.069718675687909126e-02,4.558231219649314880e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749997102907002500e+00,9.994052960616799097e-02,-1.013220286033685719e-02,4.239498326225159264e-04,-2.411011216270075863e-04,5.017858828584989550e-02,-7.118836836889386177e-02,4.561207458376884460e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749996139894477665e+00,9.992420792879193325e-02,-1.016737130744512982e-02,5.767936536767749589e-04,-3.096862843412484523e-04,5.021905617111888098e-02,-6.997048016637563705e-02,4.593539357185363770e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749995072511278948e+00,9.990647656103984753e-02,-1.020599038469665112e-02,7.513284960422791925e-04,-3.859643671344503701e-04,5.026039536036052552e-02,-6.734357168897986412e-02,4.529419109225273132e+00
