iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-4.874206613749265671e-02,4.488194189965724945e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-4.462893307209014893e-02,5.279711067676544189e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999635864119440e+00,1.000041740859348022e-01,-2.000282753778775263e-02,2.506158221715973355e-05,-5.204465203023644904e-06,4.998844211662870074e-02,-3.926638886332511902e-02,5.958506628870964050e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749998729894489458e+00,1.000163674630346750e-01,-2.000772141123230777e-02,7.443367087583974140e-05,-1.806157177708378470e-05,4.991163352271463932e-02,-3.086344990879297256e-02,6.025374233722686768e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749997395860205529e+00,1.000348943957060505e-01,-2.001361807768463341e-02,1.468486173553766594e-04,-3.933036104686316037e-05,4.978131498165955238e-02,-4.136824654415249825e-02,5.897701367735862732e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749995714993002771e+00,1.000583782018293760e-01,-2.002006186573799043e-02,2.397318204393865393e-04,-6.793792078396698741e-05,4.961102774438763685e-02,-4.888406442478299141e-02,5.803178995847702026e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749993690671455937e+00,1.000863038727883569e-01,-2.002684110413990512e-02,3.524192871957182449e-04,-1.023919359506297866e-04,4.940521741606794526e-02,-5.705967545509338379e-02,5.859376370906829834e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749991328933692358e+00,1.001183282164513771e-01,-2.003397289952700555e-02,4.897522839681194007e-04,-1.421441412134960558e-04,4.916587526350230108e-02,-6.474142475053668022e-02,5.941664114594459534e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749988648326298524e+00,1.001541178924578029e-01,-2.004149946532330848e-02,6.508709333834274136e-04,-1.876682478854085900e-04,4.889626112629247290e-02,-6.601979071274399757e-02,5.964295938611030579e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749985655999176437e+00,1.001934761960814463e-01,-2.004943497131466898e-02,8.341778663661959803e-04,-2.395080604009613978e-04,4.859749272296656764e-02,-6.373948557302355766e-02,5.960091143846511841e+00
1.000000000000000000e+01,1.000000000000000194e-02,4.749982376536832973e+00,1.002360522367176932e-01,-2.005774490787818817e-02,1.036947244952270142e-03,-2.976803290395402257e-04,4.827328027292927121e-02,-9.153983835130929947e-02,5.978805378079414368e+00
