iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
2,5.864698e-03,2.367700e-01,0.000000e+00,0,0,0,5.475250e-06,1.405829e-06
3,9.930683e-03,4.275475e-01,0.000000e+00,0,0,0,1.015535e-05,2.537361e-06
4,1.097789e-02,6.764612e-02,1.904994e+02,385,83,13,1.626092e+00,4.257291e-01
5,1.549357e-02,5.059385e-01,0.000000e+00,0,0,0,1.348038e-05,2.900368e-06
6,1.307340e-02,7.561898e-02,1.724984e+02,414,85,14,1.079124e+00,2.403963e-01
7,1.737233e-02,4.901578e-02,1.236310e+02,414,87,14,6.929588e-01,1.580382e-01
8,2.191387e-02,3.872809e-02,1.161556e+02,414,87,14,4.295646e-01,9.728710e-02
9,2.622071e-02,3.910401e-02,1.144675e+02,414,87,14,4.073324e-01,9.146365e-02
10,3.065720e-02,4.017919e-02,1.153870e+02,414,87,14,4.491006e-01,9.675763e-02
11,3.520931e-02,4.123312e-02,1.150089e+02,414,87,14,4.619289e-01,9.914469e-02
12,3.959156e-02,4.161137e-02,1.124953e+02,414,87,14,4.350066e-01,9.546321e-02
13,4.375665e-02,4.157281e-02,1.088845e+02,414,87,14,3.992245e-01,9.020463e-02
14,4.769462e-02,4.133171e-02,1.049107e+02,414,87,14,3.679021e-01,8.472738e-02
15,5.562164e-02,5.563080e-01,0.000000e+00,0,0,0,1.660983e-05,3.569561e-06
16,5.351236e-02,6.449378e-02,1.652184e+02,415,85,14,5.835878e-01,1.330442e-01
17,6.140244e-02,5.404046e-01,0.000000e+00,0,0,0,1.798765e-05,3.893107e-06
18,5.911468e-02,6.449497e-02,1.574695e+02,414,87,14,5.791270e-01,1.329805e-01
19,6.638515e-02,5.065397e-01,0.000000e+00,0,0,0,1.815000e-05,3.960316e-06
20,6.421550e-02,6.311280e-02,1.474740e+02,414,87,14,4.539259e-01,1.029180e-01
21,7.075483e-02,4.670705e-01,0.000000e+00,0,0,0,1.780627e-05,3.888949e-06
22,6.870369e-02,6.044763e-02,1.338365e+02,414,87,14,3.402268e-01,7.294633e-02
23,7.436961e-02,4.169846e-01,0.000000e+00,0,0,0,1.736224e-05,3.786787e-06
24,7.243929e-02,5.649060e-02,1.178225e+02,414,87,14,2.571460e-01,5.488539e-02
25,7.714135e-02,3.633542e-01,0.000000e+00,0,0,0,1.683357e-05,3.666392e-06
26,7.534969e-02,5.243245e-02,1.006918e+02,414,87,14,1.821609e-01,3.882244e-02
27,7.909123e-02,3.078359e-01,0.000000e+00,0,0,0,1.622135e-05,3.527693e-06
28,8.069934e-02,5.114081e-01,0.000000e+00,0,0,0,1.595874e-05,3.451951e-06
29,7.757804e-02,5.688626e-02,9.754684e+01,414,87,14,1.382078e-01,2.884628e-02
30,8.028547e-02,2.427671e-01,0.000000e+00,0,0,0,1.529384e-05,3.315343e-06
31,8.117141e-02,3.972490e-01,0.000000e+00,0,0,0,1.488172e-05,3.199168e-06
32,8.134285e-02,5.072304e-01,0.000000e+00,0,0,0,1.451144e-05,3.085311e-06
33,7.837870e-02,6.409889e-02,7.852197e+01,414,87,14,1.366092e-01,2.584836e-02
34,7.974562e-02,2.075959e-01,0.000000e+00,0,0,0,1.376739e-05,2.963860e-06
35,7.999467e-02,3.854152e-01,0.000000e+00,0,0,0,1.338805e-05,2.813347e-06
36,7.983070e-02,5.083896e-01,0.000000e+00,0,0,0,1.287845e-05,2.621516e-06
37,7.821939e-02,5.966520e-02,5.153300e+01,414,87,14,2.836742e-01,7.032669e-02
38,7.866363e-02,2.253848e-01,0.000000e+00,0,0,0,1.216178e-05,2.477015e-06
39,7.848317e-02,3.905123e-01,0.000000e+00,0,0,0,1.186745e-05,2.378468e-06
40,7.802024e-02,5.010219e-01,0.000000e+00,0,0,0,1.126560e-05,2.250921e-06
41,7.731190e-02,5.794808e-02,5.761407e+01,359,81,14,4.460377e-01,1.118137e-01
42,7.683936e-02,2.284859e-01,0.000000e+00,0,0,0,1.069561e-05,2.125004e-06
43,7.615115e-02,3.744853e-01,0.000000e+00,0,0,0,1.062483e-05,2.126490e-06
44,7.538480e-02,4.700453e-01,0.000000e+00,0,0,0,1.010479e-05,1.989836e-06
45,7.449959e-02,5.291158e-01,0.000000e+00,0,0,0,9.478390e-06,1.844187e-06
46,7.352515e-02,5.622719e-01,0.000000e+00,0,0,0,8.827939e-06,1.703168e-06
47,7.436793e-02,6.412190e-02,9.642607e+01,359,81,14,7.244789e-01,1.830144e-01
48,7.270652e-02,2.220636e-01,0.000000e+00,0,0,0,8.791626e-06,1.728092e-06
49,7.159665e-02,3.373045e-01,0.000000e+00,0,0,0,9.374597e-06,1.862634e-06
50,7.067985e-02,4.139496e-01,0.000000e+00,0,0,0,9.021588e-06,1.751395e-06
51,6.986546e-02,4.615858e-01,0.000000e+00,0,0,0,8.518637e-06,1.618615e-06
52,6.910867e-02,4.877471e-01,0.000000e+00,0,0,0,8.123739e-06,1.515512e-06
53,6.839442e-02,4.982623e-01,0.000000e+00,0,0,0,7.906356e-06,1.536434e-06
54,6.770433e-02,4.975893e-01,0.000000e+00,0,0,0,7.682280e-06,1.552795e-06
55,6.703563e-02,4.992312e-01,0.000000e+00,0,0,0,7.496205e-06,1.564954e-06
56,6.639085e-02,5.402792e-01,0.000000e+00,0,0,0,7.665808e-06,1.573404e-06
57,6.946144e-02,6.519301e-02,1.519585e+02,359,81,13,1.144315e+00,2.860602e-01
58,6.740788e-02,2.220018e-01,0.000000e+00,0,0,0,7.530832e-06,1.419962e-06
59,6.647804e-02,2.764039e-01,0.000000e+00,0,0,0,8.382712e-06,1.577107e-06
60,6.598719e-02,3.253421e-01,0.000000e+00,0,0,0,8.631019e-06,1.592100e-06
61,6.554621e-02,3.541768e-01,0.000000e+00,0,0,0,8.648833e-06,1.572392e-06
62,6.505489e-02,3.771376e-01,0.000000e+00,0,0,0,8.532767e-06,1.534014e-06
63,6.450818e-02,4.172960e-01,0.000000e+00,0,0,0,8.619213e-06,1.528396e-06
64,6.392927e-02,4.545612e-01,0.000000e+00,0,0,0,8.716773e-06,1.536260e-06
65,6.334592e-02,4.856359e-01,0.000000e+00,0,0,0,8.771208e-06,1.538971e-06
66,6.278190e-02,5.111043e-01,0.000000e+00,0,0,0,8.801551e-06,1.538249e-06
67,6.206436e-02,5.293808e-01,0.000000e+00,0,0,0,8.509722e-06,1.500976e-06
68,6.113430e-02,5.426738e-01,0.000000e+00,0,0,0,8.045075e-06,1.442670e-06
69,6.487388e-02,5.842887e-02,1.391830e+02,360,86,13,1.070104e+00,2.625484e-01
70,6.168098e-02,1.989570e-01,0.000000e+00,0,0,0,5.915810e-06,1.212088e-06
71,5.959311e-02,3.106536e-01,0.000000e+00,0,0,0,6.061471e-06,1.137957e-06
72,5.792506e-02,3.799529e-01,0.000000e+00,0,0,0,5.643905e-06,1.104364e-06
73,5.631047e-02,4.444034e-01,0.000000e+00,0,0,0,5.042999e-06,1.068933e-06
74,5.470645e-02,5.102276e-01,0.000000e+00,0,0,0,4.525124e-06,1.029072e-06
75,5.992820e-02,5.827938e-02,1.190875e+02,415,85,14,6.300670e-01,1.403559e-01
76,5.551231e-02,2.620073e-01,0.000000e+00,0,0,0,4.172875e-06,9.559396e-07
77,5.264115e-02,4.086992e-01,0.000000e+00,0,0,0,4.474414e-06,9.338817e-07
78,5.043970e-02,5.109339e-01,0.000000e+00,0,0,0,4.082878e-06,8.925053e-07
79,5.494989e-02,6.022485e-02,1.176885e+02,415,85,14,5.065953e-01,1.132056e-01
80,5.031323e-02,2.649924e-01,0.000000e+00,0,0,0,3.711399e-06,8.222337e-07
81,4.725228e-02,4.194206e-01,0.000000e+00,0,0,0,3.966503e-06,8.114415e-07
82,4.600958e-02,5.243286e-01,0.000000e+00,0,0,0,3.861003e-06,7.785752e-07
83,4.979482e-02,6.164820e-02,1.218749e+02,415,85,14,4.977381e-01,1.108499e-01
84,4.518956e-02,2.609323e-01,0.000000e+00,0,0,0,3.654007e-06,7.252665e-07
85,4.276802e-02,4.107067e-01,0.000000e+00,0,0,0,3.903795e-06,7.211224e-07
86,4.186721e-02,5.080316e-01,0.000000e+00,0,0,0,3.939699e-06,6.967928e-07
