iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,7.413957e-03,2.822731e-01,0.000000e+00,0,0,0,1.752282e-05,3.353553e-06,3.353553e-06,0.000000e+00
3,1.211853e-02,4.607744e-01,0.000000e+00,0,0,0,2.803940e-05,5.165558e-06,5.165558e-06,0.000000e+00
4,1.367126e-02,6.601806e-02,2.726737e+02,385,83,14,3.802060e+00,1.080056e+00,3.327913e-06,1.080053e+00
5,1.752623e-02,5.842561e-02,1.549701e+02,411,87,14,1.994523e+00,7.126717e-01,4.888518e-06,7.126668e-01
6,1.938422e-02,4.318953e-01,0.000000e+00,0,0,0,1.369730e-05,4.960739e-06,4.960739e-06,0.000000e+00
7,1.972062e-02,7.700613e-02,2.474444e+02,361,81,14,2.475957e+00,1.056344e+00,4.486606e-06,1.056345e+00
8,2.714030e-02,5.423999e-01,0.000000e+00,0,0,0,2.354018e-05,7.111849e-06,7.111849e-06,0.000000e+00
9,2.686579e-02,1.045281e-01,4.008166e+02,361,81,14,3.622788e+00,1.692641e+00,6.534962e-06,1.692634e+00
10,3.239270e-02,7.314348e-02,1.807781e+02,359,85,14,2.214165e+00,9.526875e-01,8.561688e-06,9.526790e-01
11,4.020648e-02,5.454942e-01,0.000000e+00,0,0,0,1.999573e-05,6.273717e-06,6.273717e-06,0.000000e+00
12,3.762482e-02,1.002422e-01,4.309485e+02,361,81,14,3.423626e+00,1.823624e+00,5.676983e-06,1.823625e+00
13,4.218854e-02,5.758071e-02,1.447100e+02,412,87,14,8.544223e-01,3.081223e-01,6.609315e-06,3.081157e-01
14,4.735164e-02,1.008949e-01,5.292216e+02,361,81,14,4.178347e+00,2.323628e+00,9.597766e-06,2.323619e+00
