iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,6.309188e-03,2.410185e-01,0.000000e+00,0,0,0,1.525568e-05,2.776926e-06,2.776926e-06,0.000000e+00
3,1.046022e-02,4.010247e-01,0.000000e+00,0,0,0,2.534441e-05,4.732241e-06,4.732241e-06,0.000000e+00
4,1.186726e-02,6.635604e-02,2.458824e+02,362,81,14,3.466082e+00,1.049145e+00,3.200412e-06,1.049142e+00
5,1.601460e-02,5.947829e-02,1.536940e+02,411,87,14,1.868062e+00,7.043640e-01,4.775537e-06,7.043592e-01
6,1.972872e-02,4.497995e-01,0.000000e+00,0,0,0,1.363292e-05,4.949772e-06,4.949772e-06,0.000000e+00
7,1.914139e-02,8.341286e-02,2.448371e+02,361,81,14,2.151005e+00,1.008513e+00,4.314612e-06,1.008513e+00
8,2.764710e-02,5.527296e-01,0.000000e+00,0,0,0,2.329950e-05,6.807172e-06,6.807172e-06,0.000000e+00
9,2.694586e-02,1.083462e-01,4.055183e+02,361,81,14,3.308057e+00,1.678478e+00,6.481339e-06,1.678472e+00
10,3.250324e-02,7.447115e-02,1.780496e+02,359,85,14,2.016418e+00,9.373899e-01,8.479411e-06,9.373813e-01
11,4.045476e-02,5.533140e-01,0.000000e+00,0,0,0,2.018476e-05,6.078964e-06,6.078964e-06,0.000000e+00
12,3.788302e-02,1.054032e-01,4.427661e+02,361,81,14,3.092547e+00,1.826774e+00,5.496789e-06,1.826775e+00
13,4.254657e-02,5.550322e-02,1.406282e+02,412,87,14,8.487457e-01,2.771570e-01,6.339243e-06,2.771507e-01
14,4.735186e-02,1.053954e-01,5.527718e+02,361,81,14,3.783632e+00,2.361750e+00,9.618573e-06,2.361741e+00
