iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
2,4.148380e-03,1.581741e-01,0.000000e+00,0,0,0,9.852833e-06,1.984156e-06
3,7.032210e-03,2.697678e-01,0.000000e+00,0,0,0,1.652607e-05,3.041270e-06
4,9.200431e-03,3.526438e-01,0.000000e+00,0,0,0,2.130495e-05,3.891020e-06
5,1.102337e-02,4.167835e-01,0.000000e+00,0,0,0,2.532978e-05,5.073523e-06
6,1.104264e-02,5.858695e-02,4.470800e+02,385,83,14,6.434604e+00,1.864651e+00
7,1.395862e-02,3.877197e-01,0.000000e+00,0,0,0,2.445645e-05,5.632738e-06
8,1.447201e-02,5.063555e-01,0.000000e+00,0,0,0,1.161991e-05,4.035257e-06
9,1.336271e-02,6.857598e-02,3.235711e+02,412,87,14,1.699349e+00,6.800790e-01
10,1.819460e-02,3.711149e-01,0.000000e+00,0,0,0,1.836615e-05,4.632921e-06
11,1.742471e-02,6.716053e-02,3.140466e+02,361,81,14,2.940571e+00,1.354880e+00
12,2.342983e-02,3.910689e-01,0.000000e+00,0,0,0,2.424174e-05,6.145375e-06
13,2.170222e-02,6.179920e-02,2.753713e+02,414,87,14,1.295214e+00,3.134145e-01
14,2.776157e-02,3.856132e-01,0.000000e+00,0,0,0,2.131467e-05,4.313658e-06
15,2.610233e-02,6.689715e-02,2.781967e+02,414,85,14,2.229178e+00,9.533628e-01
16,3.230805e-02,3.898875e-01,0.000000e+00,0,0,0,2.566004e-05,6.447287e-06
17,3.077119e-02,6.478310e-02,2.798142e+02,414,87,14,1.325936e+00,3.066172e-01
18,3.694334e-02,3.950101e-01,0.000000e+00,0,0,0,2.497409e-05,5.525351e-06
19,3.520739e-02,6.682363e-02,2.765781e+02,414,87,14,1.911980e+00,7.258173e-01
20,4.121470e-02,3.893320e-01,0.000000e+00,0,0,0,2.766490e-05,6.956184e-06
21,3.956625e-02,6.468311e-02,2.729800e+02,414,87,14,1.433032e+00,3.213350e-01
22,4.537870e-02,3.866138e-01,0.000000e+00,0,0,0,2.778261e-05,6.651730e-06
23,4.376877e-02,6.496263e-02,2.664907e+02,414,87,14,1.704862e+00,5.946125e-01
24,4.923461e-02,3.781571e-01,0.000000e+00,0,0,0,2.959623e-05,7.539086e-06
25,4.780157e-02,6.348637e-02,2.596015e+02,414,87,14,1.445910e+00,3.778572e-01
26,5.307329e-02,3.708377e-01,0.000000e+00,0,0,0,3.003093e-05,7.518907e-06
27,5.159478e-02,6.291178e-02,2.513286e+02,414,87,14,1.558134e+00,5.088536e-01
28,5.664834e-02,3.605750e-01,0.000000e+00,0,0,0,3.129780e-05,8.097049e-06
29,5.518685e-02,6.128407e-02,2.428504e+02,414,87,14,1.397391e+00,3.881294e-01
30,6.002114e-02,3.508514e-01,0.000000e+00,0,0,0,3.181228e-05,8.195680e-06
31,6.235908e-02,5.540640e-01,0.000000e+00,0,0,0,3.099896e-05,7.865463e-06
32,5.912585e-02,7.341939e-02,3.029364e+02,414,85,14,2.335576e+00,8.292186e-01
33,6.452177e-02,3.785142e-01,0.000000e+00,0,0,0,3.487429e-05,9.388654e-06
34,6.284237e-02,6.210142e-02,2.462644e+02,414,87,14,8.361067e-01,2.557300e-01
35,6.737231e-02,3.362162e-01,0.000000e+00,0,0,0,3.230960e-05,8.166738e-06
36,6.954249e-02,5.351824e-01,0.000000e+00,0,0,0,3.365157e-05,9.239141e-06
37,6.643423e-02,7.208759e-02,2.813856e+02,414,85,14,2.292242e+00,9.317513e-01
38,7.153491e-02,3.654003e-01,0.000000e+00,0,0,0,3.610099e-05,9.949964e-06
39,7.363556e-02,5.599837e-01,0.000000e+00,0,0,0,2.998435e-05,6.645012e-06
40,7.029596e-02,7.131416e-02,2.832516e+02,414,87,14,1.066954e+00,2.800415e-01
41,7.523961e-02,3.588373e-01,0.000000e+00,0,0,0,3.424405e-05,8.782091e-06
42,7.724892e-02,5.509122e-01,0.000000e+00,0,0,0,3.418922e-05,9.490593e-06
43,7.396238e-02,7.193065e-02,2.767041e+02,414,87,14,1.805255e+00,7.394491e-01
44,7.876413e-02,3.512508e-01,0.000000e+00,0,0,0,3.598912e-05,9.880740e-06
45,8.057730e-02,5.346633e-01,0.000000e+00,0,0,0,3.114153e-05,7.198928e-06
46,7.737201e-02,6.710219e-02,2.606071e+02,414,87,14,8.290964e-01,2.270851e-01
47,8.176925e-02,3.322994e-01,0.000000e+00,0,0,0,3.423023e-05,8.827702e-06
48,8.337025e-02,5.063372e-01,0.000000e+00,0,0,0,3.431144e-05,9.535649e-06
49,8.033220e-02,6.540793e-02,2.430280e+02,414,87,14,1.380642e+00,5.754801e-01
50,8.441431e-02,3.149235e-01,0.000000e+00,0,0,0,3.536762e-05,9.670640e-06
51,8.582649e-02,4.802383e-01,0.000000e+00,0,0,0,3.157554e-05,7.522113e-06
52,8.294947e-02,5.971736e-02,2.229237e+02,414,87,14,6.544219e-01,1.637355e-01
53,8.656760e-02,2.920792e-01,0.000000e+00,0,0,0,3.363935e-05,8.701008e-06
54,8.774967e-02,4.460176e-01,0.000000e+00,0,0,0,3.391025e-05,9.402991e-06
55,8.851359e-02,5.503082e-01,0.000000e+00,0,0,0,3.517644e-05,9.811994e-06
56,8.512284e-02,6.435448e-02,2.329823e+02,414,87,14,1.299644e+00,5.280170e-01
57,8.880414e-02,2.914203e-01,0.000000e+00,0,0,0,3.462365e-05,9.430250e-06
58,8.977633e-02,4.326429e-01,0.000000e+00,0,0,0,3.043931e-05,7.222241e-06
59,9.027694e-02,5.215693e-01,0.000000e+00,0,0,0,3.114264e-05,7.432440e-06
60,8.709622e-02,6.011027e-02,2.099423e+02,414,87,14,6.042808e-01,1.698070e-01
61,9.016744e-02,2.592881e-01,0.000000e+00,0,0,0,3.222985e-05,8.271190e-06
62,9.103115e-02,3.955774e-01,0.000000e+00,0,0,0,3.292866e-05,9.215957e-06
63,9.139369e-02,4.775377e-01,0.000000e+00,0,0,0,3.351928e-05,9.353244e-06
64,9.165172e-02,5.389944e-01,0.000000e+00,0,0,0,3.384299e-05,9.416055e-06
65,8.843721e-02,6.036639e-02,1.992940e+02,414,87,14,8.415996e-01,3.585109e-01
66,9.123368e-02,2.417893e-01,0.000000e+00,0,0,0,3.226074e-05,8.699642e-06
67,9.178904e-02,3.594052e-01,0.000000e+00,0,0,0,2.909407e-05,6.992764e-06
68,9.198344e-02,4.315287e-01,0.000000e+00,0,0,0,2.898664e-05,6.874368e-06
69,9.210759e-02,4.854292e-01,0.000000e+00,0,0,0,2.894410e-05,6.802725e-06
70,9.221801e-02,5.289740e-01,0.000000e+00,0,0,0,2.878465e-05,6.698527e-06
71,8.927163e-02,5.719274e-02,1.779757e+02,415,87,14,6.361811e-01,4.182872e-01
72,9.169249e-02,2.207624e-01,0.000000e+00,0,0,0,2.839050e-05,6.991267e-06
73,9.218836e-02,3.334837e-01,0.000000e+00,0,0,0,3.059092e-05,8.709821e-06
74,9.235528e-02,4.022057e-01,0.000000e+00,0,0,0,3.014798e-05,8.411640e-06
75,9.240834e-02,4.501779e-01,0.000000e+00,0,0,0,2.935143e-05,7.990970e-06
76,9.238920e-02,4.847995e-01,0.000000e+00,0,0,0,2.845048e-05,7.554213e-06
77,9.230219e-02,5.091330e-01,0.000000e+00,0,0,0,2.751034e-05,7.117292e-06
78,9.214858e-02,5.251160e-01,0.000000e+00,0,0,0,2.655273e-05,6.681799e-06
79,9.193171e-02,5.342916e-01,0.000000e+00,0,0,0,2.558569e-05,6.246905e-06
80,9.165676e-02,5.379523e-01,0.000000e+00,0,0,0,2.461333e-05,5.812060e-06
81,9.132954e-02,5.371628e-01,0.000000e+00,0,0,0,2.363813e-05,5.376999e-06
82,9.095591e-02,5.328066e-01,0.000000e+00,0,0,0,2.266221e-05,4.941764e-06
83,9.054171e-02,5.256390e-01,0.000000e+00,0,0,0,2.168825e-05,4.506751e-06
84,9.009213e-02,5.162346e-01,0.000000e+00,0,0,0,2.071878e-05,4.072443e-06
85,8.961195e-02,5.050644e-01,0.000000e+00,0,0,0,1.975940e-05,3.763425e-06
86,8.910546e-02,5.066971e-01,0.000000e+00,0,0,0,1.882681e-05,3.693452e-06
