iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
2,2.255874e-01,7.266758e+00,6.371443e+02,30,48,24,3.174254e-01,2.646335e-02
3,3.528869e-01,8.574734e+00,5.440396e+02,31,50,24,3.057165e-01,2.436733e-02
4,4.193224e-01,9.329403e+00,4.372867e+02,32,50,25,1.791327e-01,1.253493e-02
5,5.164076e-01,1.128722e+01,3.918909e+02,32,50,25,1.215251e-01,1.137069e-02
6,5.659703e-01,1.203151e+01,3.459603e+02,32,50,25,1.087731e-01,9.914892e-03
7,5.717983e-01,8.875961e+00,2.757834e+02,31,51,24,9.998707e-02,7.649892e-03
8,5.664247e-01,6.272793e+00,2.243274e+02,31,51,24,8.418553e-02,6.000301e-03
9,5.584496e-01,4.500362e+00,1.907669e+02,31,51,24,6.319186e-02,4.555034e-03
10,5.706564e-01,3.417564e+00,1.741404e+02,30,52,24,4.762226e-02,4.202693e-03
11,5.722138e-01,3.189842e+00,1.680822e+02,29,50,26,3.723410e-02,3.602649e-03
12,5.656181e-01,3.116913e+00,1.586206e+02,31,50,22,2.974509e-02,3.026424e-03
13,5.586632e-01,3.359085e+00,1.461668e+02,31,50,22,2.311119e-02,2.298818e-03
14,5.515869e-01,3.414291e+00,1.370956e+02,28,51,25,1.889884e-02,2.055317e-03
15,5.420093e-01,3.277924e+00,1.309802e+02,29,51,26,1.658103e-02,1.777638e-03
16,5.331379e-01,3.078369e+00,1.209065e+02,29,51,26,1.514697e-02,1.360174e-03
17,5.271206e-01,2.656914e+00,1.093004e+02,29,51,26,1.486425e-02,1.135637e-03
18,5.232382e-01,2.152328e+00,1.016904e+02,27,52,23,1.498852e-02,1.007525e-03
19,5.183209e-01,1.736805e+00,9.584541e+01,28,52,22,1.524647e-02,9.197706e-04
20,5.146949e-01,1.569702e+00,8.872084e+01,28,52,22,1.564302e-02,9.339181e-04
21,5.114520e-01,1.535446e+00,8.121196e+01,28,52,22,1.626847e-02,1.016346e-03
22,5.079958e-01,1.467369e+00,7.456741e+01,30,52,27,1.688439e-02,1.072229e-03
23,5.032422e-01,1.318344e+00,6.923145e+01,28,53,22,1.772466e-02,1.122297e-03
24,5.012320e-01,1.177227e+00,6.481923e+01,28,53,22,1.833090e-02,1.194766e-03
25,4.996217e-01,1.083351e+00,5.997945e+01,28,53,22,1.907066e-02,1.180918e-03
26,4.989716e-01,1.024803e+00,5.550712e+01,28,53,22,1.960836e-02,1.157616e-03
27,4.992348e-01,9.873972e-01,5.137415e+01,28,54,22,2.021062e-02,1.188661e-03
28,4.995606e-01,9.971039e-01,4.736703e+01,30,52,21,2.087172e-02,1.205763e-03
29,4.990284e-01,1.013705e+00,4.519590e+01,30,52,21,2.150433e-02,1.225779e-03
30,4.966682e-01,1.033481e+00,4.370816e+01,28,52,22,2.200433e-02,1.297068e-03
31,4.925605e-01,1.086232e+00,4.174914e+01,28,52,22,2.211654e-02,1.311426e-03
32,4.869312e-01,1.124850e+00,4.068412e+01,41,51,25,2.219880e-02,1.293177e-03
33,4.798170e-01,1.151539e+00,4.123062e+01,41,51,25,2.225797e-02,1.292709e-03
34,4.753249e-01,1.130071e+00,4.153924e+01,41,51,25,2.236776e-02,1.288356e-03
35,4.748740e-01,1.121421e+00,4.114817e+01,41,51,26,2.266742e-02,1.293440e-03
36,4.738385e-01,1.099510e+00,4.094042e+01,41,51,26,2.250887e-02,1.293544e-03
37,4.721688e-01,1.075083e+00,4.070300e+01,41,51,26,2.245102e-02,1.344614e-03
38,4.698975e-01,1.079313e+00,4.090989e+01,40,52,25,2.228634e-02,1.334667e-03
39,4.664496e-01,1.097763e+00,4.123491e+01,40,52,25,2.225396e-02,1.350041e-03
40,4.617748e-01,1.114702e+00,4.142437e+01,40,52,25,2.220285e-02,1.349695e-03
41,4.557139e-01,1.121342e+00,4.189333e+01,33,53,25,2.223389e-02,1.334389e-03
42,4.527869e-01,1.105274e+00,4.166874e+01,40,52,25,2.170912e-02,1.318791e-03
43,4.517591e-01,1.127325e+00,4.205388e+01,40,52,25,2.131663e-02,1.295050e-03
44,4.499597e-01,1.134182e+00,4.570084e+01,32,54,24,2.162847e-02,1.279548e-03
45,4.472654e-01,1.143913e+00,4.645612e+01,32,54,24,2.167265e-02,1.253573e-03
46,4.436698e-01,1.145067e+00,4.686852e+01,32,54,24,2.146532e-02,1.220794e-03
47,4.391885e-01,1.150156e+00,4.711516e+01,32,54,24,2.153761e-02,1.241199e-03
48,4.338302e-01,1.152260e+00,4.814577e+01,32,54,25,2.162217e-02,1.245996e-03
49,4.277858e-01,1.155891e+00,4.793563e+01,32,54,24,2.157885e-02,1.303468e-03
50,4.240454e-01,1.151882e+00,4.797957e+01,32,54,24,2.151249e-02,1.320067e-03
51,4.234864e-01,1.154617e+00,4.776738e+01,32,54,24,2.148321e-02,1.316558e-03
52,4.223973e-01,1.147804e+00,4.712148e+01,34,53,25,2.127019e-02,1.283315e-03
53,4.208557e-01,1.169136e+00,5.015363e+01,33,54,24,2.120788e-02,1.359591e-03
54,4.188268e-01,1.200172e+00,5.074230e+01,33,54,24,2.106501e-02,1.358794e-03
55,4.161220e-01,1.204803e+00,5.067243e+01,33,54,24,2.096476e-02,1.394176e-03
56,4.127558e-01,1.211079e+00,5.090735e+01,34,53,25,2.071082e-02,1.331449e-03
57,4.088968e-01,1.213158e+00,5.129993e+01,34,53,25,2.054532e-02,1.340404e-03
58,4.046029e-01,1.219749e+00,5.300252e+01,33,54,25,2.027209e-02,1.369910e-03
59,3.998936e-01,1.224453e+00,5.348120e+01,33,54,25,1.991353e-02,1.357994e-03
60,3.948365e-01,1.227379e+00,5.405044e+01,33,54,25,1.990815e-02,1.354931e-03
61,3.895081e-01,1.234524e+00,5.465131e+01,33,54,25,1.957773e-02,1.364763e-03
62,3.839452e-01,1.241615e+00,5.507654e+01,33,54,25,1.936660e-02,1.366060e-03
63,3.781903e-01,1.262943e+00,5.654811e+01,33,54,25,1.953106e-02,1.393495e-03
64,3.748979e-01,1.289162e+00,5.801038e+01,33,54,25,1.962311e-02,1.425189e-03
65,3.737872e-01,1.306961e+00,5.902403e+01,33,54,25,1.969981e-02,1.443275e-03
66,3.725022e-01,1.317623e+00,5.975554e+01,33,54,25,1.951737e-02,1.462554e-03
67,3.709947e-01,1.326027e+00,6.026115e+01,33,54,25,1.910437e-02,1.401347e-03
68,3.692384e-01,1.335678e+00,6.074408e+01,33,54,25,1.888999e-02,1.361887e-03
69,3.671227e-01,1.353714e+00,6.155837e+01,33,54,25,1.881801e-02,1.426381e-03
70,3.646664e-01,1.372425e+00,6.235196e+01,33,54,25,1.877383e-02,1.513182e-03
71,3.618630e-01,1.384521e+00,6.286371e+01,33,54,25,1.876317e-02,1.541479e-03
72,3.588004e-01,1.386822e+00,6.310410e+01,33,54,25,1.860937e-02,1.560839e-03
73,3.555475e-01,1.384026e+00,6.303580e+01,33,54,25,1.849209e-02,1.618958e-03
74,3.523272e-01,1.383373e+00,6.318649e+01,35,52,25,1.825981e-02,1.657086e-03
75,3.507590e-01,1.383152e+00,6.331524e+01,33,54,25,1.816295e-02,1.598888e-03
76,3.490229e-01,1.385685e+00,6.362189e+01,35,52,25,1.799631e-02,1.546062e-03
77,3.471475e-01,1.389683e+00,6.400847e+01,33,54,24,1.775637e-02,1.566640e-03
78,3.450356e-01,1.391846e+00,6.468169e+01,33,54,24,1.745469e-02,1.515777e-03
79,3.427193e-01,1.397717e+00,6.542874e+01,33,54,24,1.700833e-02,1.543312e-03
80,3.402248e-01,1.410263e+00,6.621694e+01,33,54,24,1.673799e-02,1.566436e-03
81,3.375879e-01,1.440338e+00,6.656377e+01,33,54,24,1.655322e-02,1.509141e-03
82,3.348884e-01,1.479950e+00,6.390061e+01,32,54,24,1.610956e-02,1.400376e-03
83,3.352115e-01,1.541603e+00,6.600079e+01,33,53,25,1.640188e-02,1.506572e-03
84,3.357742e-01,1.599865e+00,6.799740e+01,33,53,25,1.647919e-02,1.559342e-03
85,3.363137e-01,1.604328e+00,6.693186e+01,33,53,25,1.611979e-02,1.380424e-03
86,3.368366e-01,1.628101e+00,6.663933e+01,33,53,25,1.608811e-02,1.292698e-03
