iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
2,2.296473e-01,7.457697e+00,6.492401e+02,30,48,24,3.125687e-01,2.611096e-02
3,3.555536e-01,8.658318e+00,5.461233e+02,31,50,24,2.991174e-01,2.368068e-02
4,4.210196e-01,9.309811e+00,4.354857e+02,31,50,24,1.762194e-01,1.242841e-02
5,5.174712e-01,1.107793e+01,3.890214e+02,32,50,25,1.204152e-01,1.121533e-02
6,5.691465e-01,1.156857e+01,3.371681e+02,31,51,24,1.061125e-01,8.893598e-03
7,5.747997e-01,8.689743e+00,2.762542e+02,31,51,24,9.697397e-02,7.875924e-03
8,5.702416e-01,6.232277e+00,2.279759e+02,31,51,24,8.065853e-02,5.879588e-03
9,5.619519e-01,4.534943e+00,1.916783e+02,31,51,24,6.248340e-02,4.657076e-03
10,5.746690e-01,3.455696e+00,1.755683e+02,29,50,26,4.752262e-02,4.061514e-03
11,5.754146e-01,3.138901e+00,1.674095e+02,29,50,26,3.727787e-02,3.495653e-03
12,5.693833e-01,3.139191e+00,1.584453e+02,31,50,22,2.940754e-02,2.840978e-03
13,5.621533e-01,3.334846e+00,1.458198e+02,31,50,22,2.275641e-02,2.237054e-03
14,5.545245e-01,3.350250e+00,1.366454e+02,29,51,26,1.871107e-02,2.050910e-03
15,5.447095e-01,3.254662e+00,1.301510e+02,29,51,26,1.635781e-02,1.775253e-03
16,5.358884e-01,3.018257e+00,1.200880e+02,29,51,26,1.504488e-02,1.357870e-03
17,5.297163e-01,2.619614e+00,1.088931e+02,30,51,27,1.455649e-02,9.956871e-04
18,5.246604e-01,2.113300e+00,1.010785e+02,28,52,25,1.500721e-02,9.819272e-04
19,5.206788e-01,1.712345e+00,9.541100e+01,29,52,26,1.530596e-02,9.060233e-04
20,5.170638e-01,1.598862e+00,8.746693e+01,29,52,26,1.576239e-02,9.408829e-04
21,5.137776e-01,1.543785e+00,8.108024e+01,30,52,27,1.644608e-02,9.995456e-04
22,5.103405e-01,1.477798e+00,7.505389e+01,30,52,27,1.706472e-02,1.108210e-03
23,5.056943e-01,1.308022e+00,6.889240e+01,28,53,22,1.795862e-02,1.112131e-03
24,5.031150e-01,1.151550e+00,6.410068e+01,28,53,22,1.862693e-02,1.181994e-03
25,5.015047e-01,1.085342e+00,5.919933e+01,28,53,22,1.924682e-02,1.221678e-03
26,5.008720e-01,1.026936e+00,5.425798e+01,28,53,22,1.969171e-02,1.160143e-03
27,5.011178e-01,9.925103e-01,4.986644e+01,28,54,22,2.026107e-02,1.128089e-03
28,5.014400e-01,1.012619e+00,4.694603e+01,28,52,22,2.093507e-02,1.244081e-03
29,5.010201e-01,1.044637e+00,4.504907e+01,28,52,22,2.142270e-02,1.273527e-03
30,4.987137e-01,1.087463e+00,4.317591e+01,28,52,22,2.177868e-02,1.306249e-03
31,4.946337e-01,1.145867e+00,4.121808e+01,28,52,22,2.179414e-02,1.278644e-03
32,4.889610e-01,1.181503e+00,4.139219e+01,41,51,26,2.179910e-02,1.281503e-03
33,4.818138e-01,1.190652e+00,4.114209e+01,41,51,25,2.211357e-02,1.278824e-03
34,4.767540e-01,1.172280e+00,4.119211e+01,41,51,25,2.233706e-02,1.303872e-03
35,4.763296e-01,1.168228e+00,4.146187e+01,41,51,25,2.221219e-02,1.297768e-03
36,4.753669e-01,1.139211e+00,4.104988e+01,41,51,25,2.219014e-02,1.318118e-03
37,4.737431e-01,1.112423e+00,4.084936e+01,41,51,25,2.204483e-02,1.297569e-03
38,4.714918e-01,1.087626e+00,4.098015e+01,31,54,24,2.210144e-02,1.283729e-03
39,4.680098e-01,1.097624e+00,4.119207e+01,33,53,25,2.208897e-02,1.273868e-03
40,4.632615e-01,1.107840e+00,4.121489e+01,40,52,25,2.197236e-02,1.301758e-03
41,4.570961e-01,1.110086e+00,4.176185e+01,33,53,25,2.166466e-02,1.285656e-03
42,4.534007e-01,1.093895e+00,4.143862e+01,33,53,25,2.138609e-02,1.267523e-03
43,4.523510e-01,1.111866e+00,4.214179e+01,33,53,25,2.140137e-02,1.249023e-03
44,4.506101e-01,1.121735e+00,4.734279e+01,32,54,24,2.162899e-02,1.261888e-03
45,4.480039e-01,1.138386e+00,4.684871e+01,32,54,24,2.166473e-02,1.258370e-03
46,4.444371e-01,1.145870e+00,4.708020e+01,32,54,24,2.157125e-02,1.246553e-03
47,4.400126e-01,1.150000e+00,4.722823e+01,32,54,24,2.142411e-02,1.239160e-03
48,4.346951e-01,1.148348e+00,4.816151e+01,32,54,25,2.127079e-02,1.233961e-03
49,4.286911e-01,1.155907e+00,4.837944e+01,32,54,24,2.109896e-02,1.268920e-03
50,4.243803e-01,1.159000e+00,4.856755e+01,32,54,24,2.104515e-02,1.259900e-03
51,4.238094e-01,1.163155e+00,4.841919e+01,32,54,24,2.089247e-02,1.251052e-03
52,4.227099e-01,1.165104e+00,4.837044e+01,34,53,25,2.095964e-02,1.279116e-03
53,4.211241e-01,1.189537e+00,4.963055e+01,34,53,25,2.098960e-02,1.278352e-03
54,4.190736e-01,1.203831e+00,5.051530e+01,34,53,25,2.088542e-02,1.299344e-03
55,4.163397e-01,1.212975e+00,5.120966e+01,34,53,25,2.056291e-02,1.300468e-03
56,4.129254e-01,1.221066e+00,5.192204e+01,34,53,25,2.024006e-02,1.325443e-03
57,4.090127e-01,1.229916e+00,5.259943e+01,34,53,25,2.018995e-02,1.317229e-03
58,4.046860e-01,1.230885e+00,5.339659e+01,33,54,25,2.011584e-02,1.387057e-03
59,3.999923e-01,1.234497e+00,5.355029e+01,33,54,25,1.985863e-02,1.380020e-03
60,3.949338e-01,1.238136e+00,5.371201e+01,33,54,25,1.962550e-02,1.392673e-03
61,3.895740e-01,1.242067e+00,5.429795e+01,33,54,25,1.956323e-02,1.394641e-03
62,3.839864e-01,1.244328e+00,5.481625e+01,33,54,25,1.915396e-02,1.394118e-03
63,3.781840e-01,1.258976e+00,5.603308e+01,33,54,25,1.914505e-02,1.413008e-03
64,3.732125e-01,1.280926e+00,5.735767e+01,33,54,25,1.922458e-02,1.443570e-03
65,3.720100e-01,1.296413e+00,5.826864e+01,33,54,25,1.913929e-02,1.389596e-03
66,3.706943e-01,1.305893e+00,5.886753e+01,33,54,25,1.878306e-02,1.357487e-03
67,3.691407e-01,1.322258e+00,5.954761e+01,33,54,25,1.858150e-02,1.371564e-03
68,3.673771e-01,1.344448e+00,6.040974e+01,33,54,25,1.851731e-02,1.404745e-03
69,3.652447e-01,1.359245e+00,6.099119e+01,33,54,25,1.839865e-02,1.430244e-03
70,3.627750e-01,1.368637e+00,6.142287e+01,33,54,25,1.832281e-02,1.502109e-03
71,3.598900e-01,1.375072e+00,6.184274e+01,33,54,25,1.824844e-02,1.512259e-03
72,3.567213e-01,1.378181e+00,6.210354e+01,33,54,25,1.823116e-02,1.526001e-03
73,3.533488e-01,1.381306e+00,6.250017e+01,35,52,25,1.816331e-02,1.591053e-03
74,3.502183e-01,1.384457e+00,6.345070e+01,35,52,25,1.784179e-02,1.638081e-03
75,3.487855e-01,1.385635e+00,6.383929e+01,35,52,25,1.751593e-02,1.518906e-03
76,3.471805e-01,1.387691e+00,6.325623e+01,35,52,25,1.740987e-02,1.529790e-03
77,3.454458e-01,1.393742e+00,6.295064e+01,34,53,25,1.726668e-02,1.553791e-03
78,3.435291e-01,1.395348e+00,6.326683e+01,34,53,25,1.691103e-02,1.519878e-03
79,3.413891e-01,1.392670e+00,6.325590e+01,34,53,25,1.647443e-02,1.402298e-03
80,3.390760e-01,1.396503e+00,6.346010e+01,34,53,25,1.652168e-02,1.440120e-03
81,3.366365e-01,1.436497e+00,6.351758e+01,35,52,25,1.619422e-02,1.351685e-03
82,3.341069e-01,1.477371e+00,6.414627e+01,33,53,25,1.596966e-02,1.378241e-03
83,3.318057e-01,1.541023e+00,6.631053e+01,33,53,25,1.609711e-02,1.458989e-03
84,3.322732e-01,1.587471e+00,6.762278e+01,33,53,25,1.605613e-02,1.360586e-03
85,3.327575e-01,1.592430e+00,6.675770e+01,33,53,25,1.587738e-02,1.332924e-03
86,3.332623e-01,1.626530e+00,6.722527e+01,33,53,25,1.577225e-02,1.362712e-03
