iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,7.413963e-03,2.822734e-01,0.000000e+00,0,0,0,1.752282e-05,3.353559e-06,3.353559e-06,0.000000e+00
3,1.211852e-02,4.607746e-01,0.000000e+00,0,0,0,2.803938e-05,5.165561e-06,5.165561e-06,0.000000e+00
4,1.367128e-02,6.601828e-02,2.726732e+02,385,83,14,3.802054e+00,1.080054e+00,3.327912e-06,1.080051e+00
5,1.752621e-02,5.842520e-02,1.549701e+02,411,87,14,1.994523e+00,7.126713e-01,4.888507e-06,7.126665e-01
6,1.938432e-02,4.318947e-01,0.000000e+00,0,0,0,1.369730e-05,4.960734e-06,4.960734e-06,0.000000e+00
7,1.972068e-02,7.700603e-02,2.474429e+02,361,81,14,2.475941e+00,1.056337e+00,4.486611e-06,1.056338e+00
8,2.714042e-02,5.423992e-01,0.000000e+00,0,0,0,2.354018e-05,7.111852e-06,7.111852e-06,0.000000e+00
9,2.686586e-02,1.045294e-01,4.008139e+02,361,81,14,3.622766e+00,1.692630e+00,6.534944e-06,1.692623e+00
10,3.239280e-02,7.314333e-02,1.807781e+02,359,85,14,2.214156e+00,9.526840e-01,8.561652e-06,9.526754e-01
11,4.020662e-02,5.454944e-01,0.000000e+00,0,0,0,1.999568e-05,6.273703e-06,6.273703e-06,0.000000e+00
12,3.762493e-02,1.002421e-01,4.309435e+02,361,81,14,3.423581e+00,1.823601e+00,5.676981e-06,1.823603e+00
13,4.218841e-02,5.757982e-02,1.447100e+02,412,87,14,8.544192e-01,3.081207e-01,6.609305e-06,3.081141e-01
14,4.735147e-02,1.008920e-01,5.292148e+02,361,81,14,4.178295e+00,2.323600e+00,9.597720e-06,2.323590e+00
