iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,6.309182e-03,2.410188e-01,0.000000e+00,0,0,0,1.525567e-05,2.776927e-06,2.776927e-06,0.000000e+00
3,1.046022e-02,4.010249e-01,0.000000e+00,0,0,0,2.534440e-05,4.732227e-06,4.732227e-06,0.000000e+00
4,1.186727e-02,6.635570e-02,2.458821e+02,362,81,14,3.466077e+00,1.049143e+00,3.200411e-06,1.049140e+00
5,1.601463e-02,5.947863e-02,1.536941e+02,411,87,14,1.868062e+00,7.043636e-01,4.775526e-06,7.043588e-01
6,1.972882e-02,4.497985e-01,0.000000e+00,0,0,0,1.363292e-05,4.949770e-06,4.949770e-06,0.000000e+00
7,1.914146e-02,8.341211e-02,2.448358e+02,361,81,14,2.150990e+00,1.008507e+00,4.314616e-06,1.008507e+00
8,2.764722e-02,5.527282e-01,0.000000e+00,0,0,0,2.329950e-05,6.807177e-06,6.807177e-06,0.000000e+00
9,2.694593e-02,1.083469e-01,4.055157e+02,361,81,14,3.308042e+00,1.678468e+00,6.481321e-06,1.678462e+00
10,3.250335e-02,7.447109e-02,1.780496e+02,359,85,14,2.016412e+00,9.373863e-01,8.479375e-06,9.373779e-01
11,4.045489e-02,5.533147e-01,0.000000e+00,0,0,0,2.018471e-05,6.078955e-06,6.078955e-06,0.000000e+00
12,3.788308e-02,1.054037e-01,4.427611e+02,361,81,14,3.092506e+00,1.826751e+00,5.496789e-06,1.826753e+00
13,4.254644e-02,5.550224e-02,1.406282e+02,412,87,14,8.487430e-01,2.771556e-01,6.339236e-06,2.771493e-01
14,4.735169e-02,1.053910e-01,5.527646e+02,361,81,14,3.783584e+00,2.361721e+00,9.618529e-06,2.361712e+00
