iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.970621e-04,1.741230e+00,1.377776e+00,22,66,34,1.753962e-05,3.410740e-06,8.621164e-09,3.402118e-06
4,2.877667e-03,4.716863e+00,3.684633e+00,22,66,34,4.912926e-05,9.213502e-06,3.182938e-08,9.185224e-06
5,5.365221e-03,7.801195e+00,5.108354e+00,20,66,34,8.154727e-05,1.250117e-05,6.874070e-08,1.244998e-05
6,8.254320e-03,1.072793e+01,5.594325e+00,18,66,34,1.105065e-04,1.303857e-05,1.086421e-07,1.299552e-05
7,1.192155e-02,1.348237e+01,6.615558e+00,18,66,34,1.268631e-04,1.549096e-05,1.520184e-07,1.539680e-05
8,1.649368e-02,1.611768e+01,8.528300e+00,16,64,33,1.400891e-04,2.909700e-05,1.991854e-07,2.889794e-05
9,2.071385e-02,1.868086e+01,8.248623e+00,20,66,34,1.490819e-04,2.816914e-05,2.326050e-07,2.793683e-05
10,2.337580e-02,2.116358e+01,7.666262e+00,49,61,34,2.044763e-04,3.093994e-05,2.460754e-07,3.069459e-05
11,2.576258e-02,2.344850e+01,7.425066e+00,49,61,34,1.956989e-04,2.713510e-05,2.515133e-07,2.688449e-05
12,2.934028e-02,2.554084e+01,8.168241e+00,23,66,34,1.513115e-04,4.025091e-05,2.638104e-07,3.998835e-05
13,3.396920e-02,2.315092e+01,9.622794e+00,23,66,34,1.627274e-04,5.032419e-05,2.953124e-07,5.002972e-05
14,3.794402e-02,2.468056e+01,1.050385e+01,47,61,33,2.675349e-04,3.867110e-05,3.389192e-07,3.833286e-05
15,4.036908e-02,2.634818e+01,1.402022e+01,47,61,33,3.190395e-04,4.757744e-05,3.681046e-07,4.726498e-05
16,4.787894e-02,2.787011e+01,1.253139e+01,15,66,35,1.471170e-04,4.626843e-05,4.432063e-07,4.582876e-05
17,5.773717e-02,3.082402e+01,2.371321e+01,18,67,34,3.636668e-04,5.334778e-05,5.840290e-07,5.307493e-05
18,5.788344e-02,3.303595e+01,1.176534e+01,46,61,34,2.508460e-04,3.784707e-05,5.313092e-07,3.756606e-05
19,5.478818e-02,3.375821e+01,2.766823e+01,46,61,34,6.719687e-04,9.363709e-05,4.271996e-07,9.321044e-05
20,5.448480e-02,3.473270e+01,8.535447e+00,24,64,34,1.594135e-04,2.279698e-05,4.157303e-07,2.261366e-05
21,7.211817e-02,3.715597e+01,4.682794e+01,25,64,34,1.141627e-03,1.433572e-04,4.938269e-07,1.428768e-04
22,8.275478e-02,3.840927e+01,2.280677e+01,15,67,35,2.829874e-04,9.480353e-05,6.725712e-07,9.415174e-05
23,6.903076e-02,3.711491e+01,7.701189e+01,47,67,33,2.100998e-03,2.640379e-04,6.868562e-07,2.633518e-04
24,6.637876e-02,3.531067e+01,3.020109e+01,21,67,33,6.690571e-04,1.234549e-04,7.527145e-07,1.234191e-04
25,9.318177e-02,3.647487e+01,1.306334e+02,25,67,34,3.411505e-03,4.533899e-04,6.338732e-07,4.532761e-04
26,1.403770e-01,3.529625e+01,9.730566e+01,23,65,34,1.970523e-03,3.763315e-04,1.081644e-06,3.752552e-04
27,9.013993e-02,3.426188e+01,2.007291e+02,48,67,33,5.124145e-03,6.815274e-04,9.677539e-07,6.805623e-04
28,1.630871e-01,3.871101e+01,1.950384e+02,24,67,34,4.332532e-03,5.020003e-04,1.752137e-06,5.002535e-04
29,1.057829e-01,3.986977e+01,2.977888e+02,45,66,33,7.263692e-03,9.267245e-04,4.716705e-07,9.265785e-04
30,2.649493e-01,3.262331e+01,3.650055e+02,24,68,34,8.926659e-03,1.044050e-03,2.440035e-06,1.041996e-03
31,1.430079e-01,3.317027e+01,4.186475e+02,44,66,33,9.964455e-03,1.293579e-03,8.049442e-07,1.292816e-03
32,4.363720e-01,3.523273e+01,6.814695e+02,24,67,34,1.761971e-02,2.211397e-03,4.656157e-06,2.206748e-03
33,2.501087e-01,3.713854e+01,5.396008e+02,44,65,32,1.272585e-02,1.709942e-03,1.103226e-06,1.710383e-03
34,7.351328e-01,3.764571e+01,1.229273e+03,24,66,34,3.184368e-02,3.813554e-03,6.826498e-06,3.806830e-03
35,4.894761e-01,4.597432e+01,6.313083e+02,50,67,33,1.392524e-02,2.118701e-03,3.677555e-06,2.120568e-03
36,1.156082e+00,4.555597e+01,2.063380e+03,29,65,34,5.317695e-02,6.171374e-03,1.080611e-05,6.160572e-03
37,1.491018e+00,4.812509e+01,1.225687e+03,30,63,38,1.305452e-02,1.877818e-03,6.159538e-06,1.872886e-03
38,2.917305e+00,4.537561e+01,3.242344e+03,46,60,34,8.076765e-02,9.659603e-03,1.682299e-05,9.645019e-03
39,1.309870e+01,4.592761e+01,2.745743e+03,25,67,28,3.235728e-02,6.084731e-03,1.199846e-05,6.075972e-03
40,3.135146e+02,4.986133e+01,2.548931e+04,21,67,39,1.158987e-01,1.483600e-02,5.202204e-05,1.481592e-02
