iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.224575e-04,7.777137e-01,1.106377e+00,22,66,34,1.588190e-05,2.813552e-06,1.761088e-08,2.799018e-06
4,2.847235e-03,2.425021e+00,3.188421e+00,22,66,34,4.625897e-05,8.104748e-06,6.376517e-08,8.058357e-06
5,5.397673e-03,7.011788e-01,5.681501e+00,20,66,34,8.998428e-05,1.391431e-05,7.640050e-08,1.386230e-05
6,8.426973e-03,7.527612e-01,5.913096e+00,18,66,34,1.135430e-04,1.379828e-05,1.191111e-07,1.372657e-05
7,1.193389e-02,8.055065e-01,6.397790e+00,18,66,34,1.335996e-04,1.591430e-05,1.608234e-07,1.584821e-05
8,1.628817e-02,9.667455e-01,8.151961e+00,16,64,33,1.475941e-04,2.790927e-05,2.052699e-07,2.770412e-05
9,2.069839e-02,1.353187e+00,8.736742e+00,21,66,34,1.498367e-04,2.907101e-05,2.376859e-07,2.883361e-05
10,2.374008e-02,1.367349e+00,6.896550e+00,49,61,34,2.028549e-04,3.501121e-05,2.496211e-07,3.476235e-05
11,2.602914e-02,1.639120e+00,8.195173e+00,49,61,34,2.111036e-04,2.960907e-05,2.550167e-07,2.942707e-05
12,2.904605e-02,1.850708e+00,6.241664e+00,22,66,34,1.675844e-04,3.466419e-05,2.632151e-07,3.440218e-05
13,3.367320e-02,2.016720e+00,9.690303e+00,23,66,34,1.576024e-04,4.839376e-05,3.005423e-07,4.809406e-05
14,3.881564e-02,2.175931e+00,8.820330e+00,16,66,36,2.170212e-04,4.871586e-05,3.471228e-07,4.836934e-05
15,4.202665e-02,2.301235e+00,1.410935e+01,47,61,33,3.282455e-04,4.761064e-05,3.889748e-07,4.731215e-05
16,4.656447e-02,2.455144e+00,8.590787e+00,15,66,33,1.861951e-04,3.036435e-05,4.351947e-07,2.993254e-05
17,5.526834e-02,2.615833e+00,1.895195e+01,18,67,34,3.000766e-04,4.258706e-05,5.514457e-07,4.210988e-05
18,5.805294e-02,2.736280e+00,1.410953e+01,19,67,33,1.369552e-04,4.284901e-05,5.537219e-07,4.230579e-05
19,5.639616e-02,2.808015e+00,2.187495e+01,46,61,34,4.925540e-04,7.363113e-05,4.420216e-07,7.326421e-05
20,5.496634e-02,2.935411e+00,1.402801e+01,45,61,34,3.310340e-04,4.738404e-05,4.313078e-07,4.695408e-05
21,6.446148e-02,4.156303e+00,2.982357e+01,25,64,34,7.270508e-04,8.726652e-05,4.551453e-07,8.698506e-05
22,8.590615e-02,4.248302e+00,3.088638e+01,15,67,36,7.267233e-04,1.419146e-04,6.753247e-07,1.412595e-04
23,7.274409e-02,4.143345e+00,4.654083e+01,47,67,33,1.121534e-03,1.555572e-04,5.474466e-07,1.551107e-04
24,7.166514e-02,5.134576e+00,6.135906e+01,24,67,34,1.646657e-03,2.146900e-04,7.950727e-07,2.138967e-04
25,6.190715e-02,2.400547e+02,5.868488e+01,49,67,33,1.503122e-03,2.013994e-04,5.113874e-07,2.017561e-04
26,1.193906e-01,5.586206e+00,1.296600e+02,23,65,34,3.162878e-03,3.894774e-04,8.522928e-07,3.886391e-04
27,1.000985e-01,5.655349e+00,8.115172e+01,49,67,33,1.804908e-03,2.846152e-04,8.160880e-07,2.843602e-04
28,1.344467e-01,6.138703e+00,2.263412e+02,25,67,33,5.695387e-03,6.816504e-04,1.524363e-06,6.801324e-04
29,8.783194e-02,7.745202e+00,7.973980e+01,45,66,33,1.682822e-03,2.325476e-04,8.839211e-07,2.334294e-04
30,2.087333e-01,7.855052e+00,4.017613e+02,25,65,34,1.007973e-02,1.189451e-03,1.445601e-06,1.188049e-03
31,2.008507e-01,6.558163e+00,1.006854e+02,16,67,34,1.569035e-03,3.642017e-04,1.682541e-06,3.625252e-04
32,2.916540e-01,9.092212e+00,6.533589e+02,29,66,34,1.659018e-02,2.134349e-03,3.081522e-06,2.131273e-03
33,3.070609e-01,8.571272e+01,2.530990e+02,20,65,34,4.342125e-03,9.682174e-04,3.268568e-06,9.655071e-04
34,4.408513e-01,9.437785e+00,1.036002e+03,25,65,34,2.633478e-02,3.369133e-03,4.031124e-06,3.365399e-03
35,6.027451e-01,9.333992e+00,6.594582e+02,22,70,34,1.454746e-02,2.363000e-03,5.426630e-06,2.358957e-03
36,7.208739e-01,1.023150e+01,1.601900e+03,27,67,34,3.999352e-02,5.186035e-03,6.043486e-06,5.180040e-03
37,1.210000e+00,1.015121e+01,1.499720e+03,24,63,34,3.425431e-02,4.270439e-03,1.102970e-05,4.261680e-03
38,2.504498e+00,1.273690e+01,2.254874e+03,48,65,34,5.797096e-02,7.297177e-03,9.063249e-06,7.290954e-03
39,5.638481e+00,2.158786e+02,3.163131e+03,28,66,31,6.831361e-02,8.174294e-03,1.725671e-05,8.157739e-03
40,2.033812e+01,1.480209e+01,4.245356e+03,29,68,38,7.702865e-02,1.014180e-02,2.071989e-05,1.012995e-02
41,5.485377e+02,8.092804e+00,4.957066e+04,28,65,31,1.254770e-01,1.698004e-02,3.972197e-05,1.695321e-02
