iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.137993e-04,7.868402e-01,1.110113e+00,22,66,34,1.645367e-05,2.828498e-06,1.781517e-08,2.814017e-06
4,2.826678e-03,2.444757e+00,3.201483e+00,22,66,34,4.770861e-05,8.152299e-06,6.430987e-08,8.106053e-06
5,5.377736e-03,7.052990e-01,5.709693e+00,20,66,34,9.238512e-05,1.398821e-05,7.704872e-08,1.393664e-05
6,8.430147e-03,7.575083e-01,5.948552e+00,18,66,34,1.161344e-04,1.388384e-05,1.200444e-07,1.381275e-05
7,1.195207e-02,9.146589e-01,6.455463e+00,18,66,34,1.363278e-04,1.623823e-05,1.621590e-07,1.617024e-05
8,1.632427e-02,1.157830e+00,8.195575e+00,16,64,33,1.505744e-04,2.807856e-05,2.069440e-07,2.787173e-05
9,2.073985e-02,1.459318e+00,8.767654e+00,21,66,34,1.530903e-04,2.917884e-05,2.394318e-07,2.893970e-05
10,2.378352e-02,1.752107e+00,6.889342e+00,49,61,34,2.031309e-04,3.502981e-05,2.537269e-07,3.477684e-05
11,2.608250e-02,2.026153e+00,8.389578e+00,49,61,34,2.162757e-04,3.044593e-05,2.568158e-07,3.026009e-05
12,2.910072e-02,2.275376e+00,6.220492e+00,22,66,34,1.721863e-04,3.479850e-05,2.664306e-07,3.453462e-05
13,3.375494e-02,2.495127e+00,9.763048e+00,23,66,34,1.593028e-04,4.867466e-05,3.027959e-07,4.837269e-05
14,3.905419e-02,2.681546e+00,8.928271e+00,16,66,36,2.185183e-04,4.936213e-05,3.503810e-07,4.901234e-05
15,4.232626e-02,2.839447e+00,1.420625e+01,47,61,33,3.310430e-04,4.798625e-05,3.931870e-07,4.768326e-05
16,4.681588e-02,2.943993e+00,8.581036e+00,15,66,33,1.915706e-04,3.029795e-05,4.388853e-07,2.986247e-05
17,5.543561e-02,3.110702e+00,1.890669e+01,18,67,34,2.983449e-04,4.263834e-05,5.536465e-07,4.240776e-05
18,5.822322e-02,3.265275e+00,1.435934e+01,19,67,33,1.407953e-04,4.390368e-05,5.566746e-07,4.335757e-05
19,5.667483e-02,3.643429e+00,2.185245e+01,46,67,34,4.889153e-04,7.287135e-05,4.462084e-07,7.250056e-05
20,5.522443e-02,3.840719e+00,1.464503e+01,45,61,34,3.441115e-04,4.931688e-05,4.373799e-07,4.888005e-05
21,6.468068e-02,4.238378e+00,2.945367e+01,25,64,34,7.170751e-04,8.597755e-05,4.581505e-07,8.570241e-05
22,8.635860e-02,4.377755e+00,3.136811e+01,15,67,36,7.475311e-04,1.437815e-04,6.812957e-07,1.431205e-04
23,7.352594e-02,4.290532e+00,4.601091e+01,47,67,33,1.094669e-03,1.543831e-04,5.545545e-07,1.539366e-04
24,7.208522e-02,4.917030e+00,6.250793e+01,24,67,34,1.686184e-03,2.204814e-04,8.030801e-07,2.196801e-04
25,6.261300e-02,1.192563e+02,5.694871e+01,49,67,33,1.448089e-03,1.938889e-04,4.835593e-07,1.942660e-04
26,1.205273e-01,5.593980e+00,1.314876e+02,23,65,34,3.216727e-03,3.932433e-04,8.587580e-07,3.923990e-04
27,1.023849e-01,5.729293e+00,7.743188e+01,49,67,33,1.695713e-03,2.712747e-04,8.340843e-07,2.710319e-04
28,1.343303e-01,6.182207e+00,2.292586e+02,25,67,33,5.781164e-03,6.918430e-04,1.531443e-06,6.903177e-04
29,9.189662e-02,7.793089e+00,7.279362e+01,51,67,34,1.533473e-03,2.084936e-04,9.310867e-07,2.094226e-04
30,2.085198e-01,7.871714e+00,4.055818e+02,25,65,34,1.018070e-02,1.201623e-03,1.436121e-06,1.200233e-03
31,2.103244e-01,6.669030e+00,1.309155e+02,15,68,35,1.528761e-03,4.241498e-04,1.691870e-06,4.224657e-04
32,2.871692e-01,8.603816e+00,6.611334e+02,29,66,34,1.669255e-02,2.030224e-03,3.033859e-06,2.027194e-03
33,3.166677e-01,6.351912e+01,2.703148e+02,20,65,34,4.970453e-03,1.033231e-03,3.394029e-06,1.030468e-03
34,4.396355e-01,9.118824e+00,1.002086e+03,25,65,33,2.594156e-02,3.345247e-03,4.027615e-06,3.341566e-03
35,6.179758e-01,9.528143e+00,6.935980e+02,22,70,34,1.544443e-02,2.411123e-03,5.579117e-06,2.407035e-03
36,7.172867e-01,1.059295e+01,1.565546e+03,47,66,33,3.918147e-02,5.187133e-03,5.412982e-06,5.181785e-03
37,1.196406e+00,1.062523e+01,1.471144e+03,24,63,34,3.385276e-02,3.994893e-03,1.139069e-05,3.986352e-03
38,2.488817e+00,1.395702e+01,2.172399e+03,47,65,33,5.606194e-02,6.979001e-03,8.478830e-06,6.973189e-03
39,4.553488e+00,2.224091e+01,2.871115e+03,28,66,31,6.951106e-02,8.410994e-03,1.847766e-05,8.398549e-03
40,1.106740e+01,1.606553e+01,3.877081e+03,29,68,38,7.519519e-02,1.000559e-02,1.965599e-05,9.995122e-03
41,3.165801e+02,1.068893e+01,2.982386e+04,23,64,38,1.286739e-01,1.678260e-02,3.574596e-05,1.675545e-02
