iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.224575e-04,7.777150e-01,1.106377e+00,22,66,34,1.588190e-05,2.813552e-06,1.761088e-08,2.799018e-06
4,2.847235e-03,2.425020e+00,3.188422e+00,22,66,34,4.625897e-05,8.104748e-06,6.376517e-08,8.058357e-06
5,5.636290e-03,7.554414e-01,6.115341e+00,21,66,34,8.769572e-05,1.505958e-05,7.971732e-08,1.500500e-05
6,9.253508e-03,9.153935e-01,7.092360e+00,19,66,34,1.076594e-04,1.709140e-05,1.311513e-07,1.701074e-05
7,1.333160e-02,9.712380e-01,7.620935e+00,18,66,34,1.309147e-04,1.821280e-05,1.797930e-07,1.810846e-05
8,1.733410e-02,8.940858e-01,7.865331e+00,16,64,33,1.550431e-04,2.706905e-05,2.166980e-07,2.685248e-05
9,2.103114e-02,1.290335e+00,7.213957e+00,19,66,34,1.610746e-04,2.539200e-05,2.392465e-07,2.515307e-05
10,2.449103e-02,2.443050e+00,7.160890e+00,18,64,34,1.857655e-04,3.777121e-05,2.553832e-07,3.751660e-05
11,2.771886e-02,1.602929e+00,6.728795e+00,18,64,34,1.879226e-04,3.728143e-05,2.645252e-07,3.701785e-05
12,3.077288e-02,1.818914e+00,6.465449e+00,18,66,34,1.868600e-04,3.630160e-05,2.770693e-07,3.602548e-05
13,3.429062e-02,2.007668e+00,6.825094e+00,17,66,34,1.879103e-04,3.744466e-05,3.108335e-07,3.713450e-05
14,3.937125e-02,2.165067e+00,8.293134e+00,16,66,36,1.993738e-04,4.544567e-05,3.549344e-07,4.509139e-05
