iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,2.708165e-04,1.286022e-01,2.316025e-01,23,66,34,5.237518e-06,6.425622e-07,4.313421e-09,6.382488e-07
4,1.020956e-03,4.105147e-01,7.680827e-01,23,66,34,1.737396e-05,2.081868e-06,1.349728e-08,2.071936e-06
5,2.256453e-03,7.616225e-01,1.463834e+00,23,66,34,3.297033e-05,3.985514e-06,2.634071e-08,3.964072e-06
6,4.137496e-03,1.146835e+00,2.225074e+00,22,66,34,4.941264e-05,6.076074e-06,4.813166e-08,6.039541e-06
7,6.796416e-03,1.555637e+00,3.018243e+00,21,66,34,6.737393e-05,8.247641e-06,7.720260e-08,8.193123e-06
8,1.002094e-02,2.004375e+00,3.788712e+00,21,66,34,8.727150e-05,1.351718e-05,1.097748e-07,1.340763e-05
9,1.360597e-02,2.495221e+00,4.515512e+00,18,66,34,1.034487e-04,1.662433e-05,1.427818e-07,1.648207e-05
10,1.698729e-02,2.870741e-01,5.435942e+00,18,66,34,1.434687e-04,2.958680e-05,1.503386e-07,2.943754e-05
11,2.083747e-02,3.322592e-01,5.871308e+00,18,66,34,1.546385e-04,3.336924e-05,1.716554e-07,3.319871e-05
12,2.434816e-02,3.736181e-01,6.024879e+00,18,66,34,1.654467e-04,3.455456e-05,1.930947e-07,3.436210e-05
13,2.743282e-02,4.120111e-01,6.032507e+00,17,66,34,1.717386e-04,3.491008e-05,2.256314e-07,3.468812e-05
14,3.014513e-02,4.547825e-01,6.008023e+00,17,66,34,1.774410e-04,3.559649e-05,2.593649e-07,3.533749e-05
