iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,3.812189e-04,1.709583e+00,2.469350e-01,24,66,36,4.879554e-06,6.427503e-07,3.570016e-09,6.392369e-07
4,1.290531e-03,4.618455e+00,7.887242e-01,23,66,34,1.633995e-05,2.109381e-06,1.232848e-08,2.097053e-06
5,2.617793e-03,7.622193e+00,1.489612e+00,23,66,34,3.121341e-05,4.007485e-06,2.572008e-08,3.981766e-06
6,4.314172e-03,1.045434e+01,2.239433e+00,23,66,34,4.700381e-05,6.087235e-06,4.731385e-08,6.044598e-06
7,6.776251e-03,1.312808e+01,3.008487e+00,21,66,34,6.440705e-05,8.240373e-06,7.613408e-08,8.178019e-06
8,9.986238e-03,1.561234e+01,3.765444e+00,21,66,34,8.384637e-05,1.346772e-05,1.088189e-07,1.335912e-05
9,1.355112e-02,1.805543e+01,4.503823e+00,18,66,34,9.980814e-05,1.655495e-05,1.417157e-07,1.641375e-05
10,1.690970e-02,2.121190e+01,5.426381e+00,18,66,34,1.391155e-04,2.941391e-05,1.493864e-07,2.926560e-05
11,2.073174e-02,2.345581e+01,5.852533e+00,18,66,34,1.502723e-04,3.316944e-05,1.708677e-07,3.299971e-05
12,2.421434e-02,2.040397e+01,6.033690e+00,17,66,35,1.609105e-04,3.434035e-05,1.926684e-07,3.414834e-05
13,2.727439e-02,2.359707e+01,6.050177e+00,17,66,34,1.675675e-04,3.471482e-05,2.215117e-07,3.449359e-05
14,2.995187e-02,2.555053e+01,6.056870e+00,17,66,34,1.736704e-04,3.550018e-05,2.595297e-07,3.524101e-05
