iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,4.063224e-04,1.498738e-01,2.431603e-01,24,66,36,4.720090e-06,6.374783e-07,4.445538e-09,6.337972e-07
4,1.329488e-03,4.538768e-01,7.849125e-01,23,66,34,1.588428e-05,2.096305e-06,1.387771e-08,2.083373e-06
5,2.647625e-03,8.164269e-01,1.481007e+00,23,66,34,3.045480e-05,3.989099e-06,2.701444e-08,3.962342e-06
6,4.368816e-03,1.200832e+00,2.230014e+00,23,66,34,4.598414e-05,6.061194e-06,4.767328e-08,6.017066e-06
7,6.771153e-03,1.595109e+00,2.994164e+00,21,66,34,6.301790e-05,8.204276e-06,7.662126e-08,8.140052e-06
8,9.975046e-03,2.020400e+00,3.751304e+00,21,66,34,8.240965e-05,1.344637e-05,1.090702e-07,1.333752e-05
9,1.353578e-02,2.485837e+00,4.484586e+00,18,66,34,9.809711e-05,1.653187e-05,1.420022e-07,1.639038e-05
10,1.688738e-02,2.857327e-01,5.394861e+00,18,66,34,1.370846e-04,2.938521e-05,1.496921e-07,2.923658e-05
11,2.069953e-02,3.302436e-01,5.821449e+00,18,66,34,1.481895e-04,3.309862e-05,1.710739e-07,3.292869e-05
12,2.417302e-02,3.709373e-01,5.978478e+00,17,66,35,1.588076e-04,3.424642e-05,1.925576e-07,3.405452e-05
13,2.722605e-02,4.082623e-01,5.990585e+00,17,66,34,1.654763e-04,3.456676e-05,2.260231e-07,3.434562e-05
14,2.989906e-02,4.501238e-01,5.971185e+00,17,66,34,1.715164e-04,3.527592e-05,2.585384e-07,3.501773e-05
