iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.970621e-04,1.666335e+00,1.123960e+00,23,66,34,1.494371e-05,2.838251e-06,1.737952e-08,2.822420e-06
4,2.877667e-03,4.494937e+00,3.186372e+00,22,66,34,4.391182e-05,8.092969e-06,6.313928e-08,8.043388e-06
5,5.426056e-03,7.763375e+00,5.652682e+00,21,66,34,8.603431e-05,1.386813e-05,7.565050e-08,1.381085e-05
6,8.426129e-03,1.069156e+01,5.908645e+00,18,66,34,1.092990e-04,1.377923e-05,1.181714e-07,1.370039e-05
7,1.191946e-02,1.344418e+01,6.364049e+00,18,66,34,1.291297e-04,1.543005e-05,1.595096e-07,1.536190e-05
8,1.623881e-02,1.605094e+01,8.081182e+00,16,64,33,1.429767e-04,2.767622e-05,2.034840e-07,2.747286e-05
9,2.062811e-02,1.859184e+01,8.660724e+00,21,66,34,1.449714e-04,2.889006e-05,2.360603e-07,2.865429e-05
10,2.367579e-02,2.113257e+01,6.616089e+00,49,61,34,1.945189e-04,3.470210e-05,2.505822e-07,3.445225e-05
11,2.595542e-02,2.344324e+01,8.048780e+00,49,61,34,2.057286e-04,2.877120e-05,2.555710e-07,2.858764e-05
12,2.892029e-02,2.543784e+01,6.009118e+00,18,66,34,1.647724e-04,3.392892e-05,2.654884e-07,3.366464e-05
13,3.344917e-02,2.321993e+01,9.597761e+00,23,66,34,1.551767e-04,4.764390e-05,2.989116e-07,4.734587e-05
14,3.855143e-02,2.466596e+01,8.895616e+00,16,66,36,2.078958e-04,4.909583e-05,3.457028e-07,4.875075e-05
