iter,u_fl,u_bd,u_in,div_fl,div_bd,div_in,p_fl,p_bd,p_in,nin,nbd
0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4934,5431
1,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4934,5431
2,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4934,5431
3,1.954691e-04,3.846807e-04,2.007443e-04,1.432064e-01,1.709583e+00,1.083322e+00,1.886682e-01,2.469350e-01,1.694939e-01,4934,5429
4,8.001252e-04,1.305347e-03,6.329547e-04,4.384216e-01,4.618455e+00,1.943008e+00,6.588203e-01,7.887242e-01,4.994315e-01,4942,5428
5,1.970431e-03,2.637976e-03,1.259860e-03,7.910486e-01,7.623975e+00,2.263420e+00,1.295569e+00,1.475245e+00,8.862395e-01,4943,5475
6,3.648682e-03,4.397784e-03,3.859541e-03,1.148709e+00,1.046340e+01,2.557417e+00,2.000512e+00,2.168878e+00,1.300496e+00,4945,5473
7,5.759381e-03,6.596936e-03,6.087341e-03,1.509085e+00,1.315205e+01,3.381630e+00,2.708361e+00,2.843573e+00,1.721687e+00,4944,5477
8,8.142202e-03,9.557981e-03,8.134481e-03,1.854994e+00,1.565554e+01,4.112966e+00,3.306205e+00,3.481063e+00,2.117233e+00,4939,5513
9,1.056223e-02,1.283929e-02,1.022965e-02,2.271492e+00,1.810649e+01,4.749112e+00,3.806519e+00,4.148100e+00,2.511966e+00,4941,5524
10,1.291603e-02,1.602659e-02,1.200903e-02,2.647891e-01,2.117858e+01,5.792446e+00,4.642816e+00,5.065423e+00,3.166800e+00,4960,5499
11,1.614110e-02,2.041438e-02,1.481552e-02,3.117266e-01,2.343402e+01,7.988332e+00,4.885346e+00,5.581143e+00,3.354302e+00,4967,5508
12,1.992473e-02,2.486408e-02,1.740371e-02,3.758783e-01,2.003099e+01,9.425697e+00,5.285773e+00,6.184927e+00,3.333987e+00,4985,5493
13,2.416317e-02,2.882919e-02,2.000076e-02,4.428539e-01,2.354025e+01,1.083701e+01,5.782094e+00,6.655329e+00,3.327769e+00,4990,5469
14,2.846469e-02,3.211679e-02,2.247876e-02,5.027237e-01,2.537543e+01,1.219981e+01,6.191812e+00,6.830138e+00,3.393275e+00,4989,5445
15,3.214834e-02,3.504977e-02,2.469185e-02,5.481684e-01,2.832950e+01,1.349906e+01,6.486525e+00,6.568122e+00,3.616306e+00,4981,5418
16,3.541908e-02,3.829391e-02,2.665944e-02,5.901208e-01,3.109302e+01,1.472539e+01,6.695216e+00,6.111124e+00,3.725575e+00,4971,5400
17,3.749010e-02,4.181207e-02,2.718770e-02,5.775338e-01,3.356632e+01,1.307832e+01,6.417543e+00,6.642314e+00,4.017008e+00,4973,5442
18,3.898678e-02,4.490432e-02,2.798206e-02,5.420704e-01,3.564004e+01,1.393444e+01,5.513799e+00,6.527880e+00,3.923927e+00,4972,5526
19,3.889289e-02,4.799310e-02,2.924465e-02,5.114965e-01,3.730634e+01,1.751763e+01,5.719535e+00,6.747098e+00,3.584037e+00,4962,5525
20,4.233685e-02,5.076489e-02,2.682993e-02,4.783545e-01,3.846287e+01,1.888589e+01,5.962817e+00,6.932406e+00,3.049461e+00,4957,5518
21,4.611936e-02,5.308601e-02,3.346932e-02,4.299049e-01,3.917786e+01,2.028312e+01,6.334728e+00,6.983863e+00,2.962956e+00,4975,5455
22,5.202644e-02,5.487635e-02,3.769359e-02,3.646622e-01,3.936172e+01,2.171987e+01,6.342432e+00,6.296154e+00,3.029226e+00,5000,5394
