iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.970621e-04,1.148090e+00,1.118669e+00,23,63,34,1.458684e-05,2.813596e-06,1.734417e-08,2.797662e-06
4,2.877667e-03,1.535316e+00,3.773351e+00,22,66,34,4.934619e-05,9.386863e-06,3.608419e-08,9.354454e-06
5,5.662372e-03,1.742941e+00,5.594612e+00,20,66,34,7.660409e-05,1.382435e-05,7.932055e-08,1.376418e-05
6,9.203035e-03,2.421154e+00,7.069830e+00,19,66,34,1.033751e-04,1.698273e-05,1.222220e-07,1.689983e-05
7,1.326837e-02,3.233617e+00,7.553172e+00,18,66,34,1.244916e-04,1.802054e-05,1.707717e-07,1.791197e-05
8,1.727217e-02,3.970099e+00,7.962948e+00,16,64,33,1.482298e-04,2.706464e-05,2.089456e-07,2.685581e-05
9,2.096635e-02,4.617245e+00,7.369473e+00,16,64,33,1.536926e-04,2.537846e-05,2.342147e-07,2.514452e-05
10,2.440694e-02,5.533857e+00,7.712364e+00,18,66,34,1.784805e-04,3.520288e-05,2.517181e-07,3.495210e-05
11,2.761106e-02,6.712793e+00,8.451787e+00,18,66,34,1.832225e-04,3.374820e-05,2.635239e-07,3.348583e-05
12,3.065039e-02,7.878669e+00,8.407967e+00,17,66,34,1.854563e-04,3.479788e-05,2.763118e-07,3.452263e-05
13,3.414715e-02,9.011715e+00,6.945261e+00,17,66,34,1.809301e-04,3.735456e-05,3.099773e-07,3.704529e-05
14,3.909499e-02,1.009670e+01,8.383876e+00,16,66,36,1.935489e-04,4.542021e-05,3.537239e-07,4.506718e-05
