iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.970621e-04,1.666445e+00,1.122052e+00,23,66,34,1.440459e-05,2.833741e-06,1.737725e-08,2.817898e-06
4,2.877667e-03,4.495407e+00,3.182037e+00,22,66,34,4.269206e-05,8.077710e-06,6.312700e-08,8.028097e-06
5,5.419041e-03,7.764928e+00,5.631368e+00,20,66,34,8.380673e-05,1.378363e-05,7.551613e-08,1.372637e-05
6,8.406931e-03,1.069226e+01,5.886273e+00,18,66,34,1.074266e-04,1.373123e-05,1.178908e-07,1.365252e-05
7,1.188701e-02,1.344432e+01,6.339633e+00,18,66,34,1.276742e-04,1.515305e-05,1.590941e-07,1.508247e-05
8,1.617248e-02,1.605391e+01,8.022672e+00,16,64,33,1.433565e-04,2.746127e-05,2.026620e-07,2.725872e-05
9,2.053990e-02,1.859501e+01,8.549053e+00,21,66,34,1.450930e-04,2.870537e-05,2.351233e-07,2.847053e-05
10,2.365636e-02,2.112411e+01,6.680789e+00,17,64,34,1.884604e-04,3.531492e-05,2.503601e-07,3.506528e-05
11,2.601497e-02,2.343375e+01,7.670268e+00,49,61,34,2.019756e-04,2.830474e-05,2.561016e-07,2.804962e-05
12,2.885246e-02,2.546762e+01,5.629244e+00,17,66,34,1.711358e-04,3.266892e-05,2.653994e-07,3.240469e-05
13,3.312257e-02,2.319307e+01,8.415012e+00,22,66,34,1.557295e-04,4.503012e-05,2.961862e-07,4.473480e-05
14,3.842638e-02,2.466608e+01,9.213861e+00,16,66,36,1.915799e-04,5.078722e-05,3.435450e-07,5.044428e-05
