joint,alpha,beta,gamma,delta,epsilon,offset
joint_body_0,0.0002,0.0002,1.0,1.0e-06,0,0
joint_body_1,0.0002,0.0002,1.0,1.0e-06,0,0
joint_body_2,0.0002,0.0002,1.0,1.0e-06,0,0
joint_body_3,0.0002,0.002,1.0,1.0e-06,0,0
joint_body_4,0.0002,0.0002,1.0,1.0e-06,0,0
joint_body_5,0.0002,0.0002,1.0,1.0e-06,0,0
joint_body_6,0.0002,0.0002,1.0,1.0e-06,0,0
joint_body_7,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_0_L_0,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_0_L_1,0.0002,0.0002,1.0,1.0e-06,0,-0.
joint_leg_0_L_2,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_0_L_3,0.0002,0.0002,1.0,1.0e-06,0,1.0
joint_leg_0_R_0,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_0_R_1,0.0002,0.0002,1.0,1.0e-06,0,-0.
joint_leg_0_R_2,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_0_R_3,0.0002,0.0002,1.0,1.0e-06,0,1.0
joint_leg_1_L_0,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_1_L_1,0.0002,0.0002,1.0,1.0e-06,0,-0.
joint_leg_1_L_2,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_1_L_3,0.0002,0.0002,1.0,1.0e-06,0,1.0
joint_leg_1_R_0,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_1_R_1,0.0002,0.0002,1.0,1.0e-06,0,-0.
joint_leg_1_R_2,0.0002,0.0002,1.0,1.0e-06,0,0
joint_leg_1_R_3,0.0002,0.0002,1.0,1.0e-06,0,1.0
joint_passive_0,0.000,0.0003,1.0,1.0e-06,0,0
joint_passive_1,0.000,0.0003,1.0,1.0e-06,0,0
joint_passive_2,0.000,0.0003,1.0,1.0e-06,0,0
joint_passive_3,0.000,0.0003,1.0,1.0e-06,0,0
joint_passive_4,0.000,0.0003,1.0,1.0e-06,0,0
joint_passive_5,0.000,0.0003,1.0,1.0e-06,0,0
