link,lin_x,lin_y,lin_z,quad_x,quad_y,quad_z
link_0,-8.8970e-05,-1.7241e-03,-1.1921e-03,-5.5217e-11,-9.5793e-12,-6.6746e-12
link_1,-1.8425e-05,-1.2945e-03,-1.4011e-03,-1.6381e-11,-6.3104e-12,-1.0747e-11
link_2,-2.1206e-05,-1.4992e-03,-1.6658e-03,-2.3030e-11,-9.3503e-12,-1.6662e-11
link_3,-2.3562e-05,-1.8143e-03,-1.8143e-03,-3.1416e-11,-1.3556e-11,-2.2368e-11
link_4,-2.3562e-05,-1.8143e-03,-1.8143e-03,-3.1416e-11,-1.3556e-11,-2.2368e-11
link_5,-2.3562e-05,-1.8143e-03,-1.8143e-03,-3.1416e-11,-1.3556e-11,-2.2368e-11
link_6,-3.0189e-05,-2.6114e-03,-2.1414e-03,-6.5745e-11,-2.7741e-11,-3.8231e-11
link_7,-1.5586e-05,-1.6648e-03,-2.0386e-03,-1.0313e-11,-1.5098e-11,-4.3470e-11
link_8,-1.3854e-05,-1.6648e-03,-1.8121e-03,-8.0122e-12,-1.3421e-11,-3.7887e-11
link_9,-1.1257e-05,-1.6648e-03,-1.4723e-03,-5.3103e-12,-1.0904e-11,-3.0542e-11
link_10,-8.6590e-06,-1.6648e-03,-1.1325e-03,-3.3573e-12,-8.3879e-12,-2.4321e-11
link_11,-5.1836e-06,-6.6523e-04,-4.8381e-04,-8.7960e-13,-8.1499e-13,-1.5308e-12
link_12,-2.9452e-06,-4.3982e-04,-2.1991e-04,-3.1063e-13,-1.9628e-13,-2.6730e-13
link_13,-2.9452e-06,-5.7727e-04,-2.8863e-04,-3.1063e-13,-3.9667e-13,-8.2437e-13
link_14,-2.0617e-06,-8.7965e-04,-3.0788e-04,-2.0381e-13,-9.3556e-13,-4.3659e-12
link_15,-3.7110e-06,-1.9792e-03,-3.8485e-04,-2.3600e-12,-3.4024e-12,-1.2303e-11
