joint,alpha,beta,gamma,delta,epsilon,offset
joint_0,1.015895279017356e-06,2.4252713297899865e-06,1.0,2.573292803167538e-08,0.0,0.0
joint_1,1.015895279017356e-06,2.4252713297899865e-06,1.0,2.573292803167538e-08,0.0,0.0
joint_2,1.015895279017356e-06,2.4252713297899865e-06,1.0,2.573292803167538e-08,0.0,0.0
joint_3,1.761792974999012e-06,4.205970910135031e-06,1.0,4.462673738991388e-08,0.0,0.0
joint_4,2.3583632562193314e-06,5.63017754750407e-06,1.0,5.973803914468515e-08,0.0,0.0
joint_5,2.4450478245407705e-06,5.837121710576233e-06,1.0,6.193378491114849e-08,0.0,0.0
joint_6,2.053688786379902e-06,4.902820828871354e-06,1.0,5.202054466725197e-08,0.0,0.0
joint_7,1.4895586202199274e-06,3.5560592614971703e-06,1.0,3.773096062633264e-08,0.0,0.0
joint_8,9.767003691587275e-07,2.3317003750693566e-06,1.0,2.4740109366767635e-08,0.0,0.0
joint_9,5.855200881443357e-07,1.3978262446165992e-06,1.0,1.483139709428751e-08,0.0,0.0
joint_10,3.1282580119664393e-07,7.468165888069265e-07,1.0,7.923970112776654e-09,0.0,0.0
joint_11,1.4049584742555938e-07,3.3540912902493774e-07,1.0,3.5588013894977433e-09,0.0,0.0
joint_12,4.763071092266302e-08,1.1370994629484427e-07,1.0,1.206500002102561e-09,0.0,0.0
joint_13,4.763071092266302e-08,1.1370994629484427e-07,1.0,1.206500002102561e-09,0.0,0.0
joint_14,4.763071092266302e-08,1.1370994629484427e-07,1.0,1.206500002102561e-09,0.0,0.0
